,P,Q,mean voltage p.u.
2023-02-26 23:00:00,-3,0,"0,9833119135425389"
2023-02-26 23:01:00,-3,0,"0,983039516106516"
2023-02-26 23:02:00,-3,0,"0,9822223940933656"
2023-02-26 23:03:00,-1013548,6,"0,980581968701675"
2023-02-26 23:04:00,-335,6,"0,9802602534850479"
2023-02-26 23:05:00,-3,0,"0,9802602006347778"
2023-02-26 23:06:00,-3,0,"0,9802602006347764"
2023-02-26 23:07:00,-1013826,6,"0,9788921227544672"
2023-02-26 23:08:00,1076,6,"0,9799337490415768"
2023-02-26 23:09:00,-3,0,"0,9799331953819544"
2023-02-26 23:10:00,-338416,0,"0,9799309908054642"
2023-02-26 23:11:00,-1353649,6,"0,9799243770377634"
2023-02-26 23:12:00,8,10,"0,979933195524864"
2023-02-26 23:13:00,-3,0,"0,979279462395989"
2023-02-26 23:14:00,-3,0,"0,9796063039687876"
2023-02-26 23:15:00,-3,0,"0,9787891663764473"
2023-02-26 23:16:00,-3,0,"0,9788978528410285"
2023-02-26 23:17:00,-3,0,"0,9904087384352245"
2023-02-26 23:18:00,-3,0,"0,991214106459919"
2023-02-26 23:19:00,-3,0,"0,9914862518023203"
2023-02-26 23:20:00,-3,0,"0,9916497467369312"
2023-02-26 23:21:00,-1015236,6,"0,9881009966028353"
2023-02-26 23:22:00,-3,0,"0,9866906910185802"
2023-02-26 23:23:00,-3,0,"0,9891974149431448"
2023-02-26 23:24:00,-676827,2,"0,9894110317802317"
2023-02-26 23:25:00,-3,0,"0,9895243608808225"
2023-02-26 23:26:00,-3,0,"0,990287333594184"
2023-02-26 23:27:00,-3,0,"0,9910503063076"
2023-02-26 23:28:00,-1353645,10,"0,9915320101636705"
2023-02-26 23:29:00,-3,0,"0,9930121005643232"
2023-02-26 23:30:00,-3,0,"0,9930121005643232"
2023-02-26 23:31:00,-338416,0,"0,991920003982725"
2023-02-26 23:32:00,-3,0,"0,988652485275248"
2023-02-26 23:33:00,-3,0,"0,9884345015450291"
2023-02-26 23:34:00,-3,0,"0,9892519257044701"
2023-02-26 23:35:00,-4060856,96,"0,9893891975436752"
2023-02-26 23:36:00,-4060856,96,"0,9895526748406496"
2023-02-26 23:37:00,-3,0,"0,9905597687705363"
2023-02-26 23:38:00,-3,0,"0,9915407252141165"
2023-02-26 23:39:00,-3,0,"0,992358149373612"
2023-02-26 23:40:00,-3,0,"0,992358149373612"
2023-02-26 23:41:00,-3,0,"0,9925216816577517"
2023-02-26 23:42:00,-3,0,"0,992358149373612"
2023-02-26 23:43:00,-676827,2,"0,9911549093051731"
