,P,Q,mean voltage p.u.
2023-08-13 22:00:00,98418,116090316,"1,0133989704055932"
2023-08-13 22:01:00,1583,101419136,"1,0129711805135198"
2023-08-13 22:02:00,1530,86863186,"1,0125447236544969"
2023-08-13 22:03:00,-3,0,"1,0099874734637797"
2023-08-13 22:04:00,-3,0,"1,0060879461725727"
2023-08-13 22:05:00,-3,0,"1,0037170040853955"
2023-08-13 22:06:00,-3,0,"1,003384049317382"
2023-08-13 22:07:00,-3,0,"1,0033839940748863"
2023-08-13 22:08:00,-3,0,"1,003383994074885"
2023-08-13 22:09:00,-3,0,"1,0033839940748848"
2023-08-13 22:10:00,-3,0,"1,003549112524749"
2023-08-13 22:11:00,-3,0,"1,0037142173863027"
2023-08-13 22:12:00,-3,0,"1,0038792030212027"
2023-08-13 22:13:00,-3,0,"1,0053661136004055"
2023-08-13 22:14:00,-3,0,"1,0053650140491868"
2023-08-13 22:15:00,-3,0,"1,0053650140485857"
2023-08-13 22:16:00,-3,0,"1,0053650140485852"
2023-08-13 22:17:00,-3,0,"1,0049248705307487"
2023-08-13 22:18:00,-3,0,"1,0033851754071026"
2023-08-13 22:19:00,-3,0,"1,004374991796262"
2023-08-13 22:20:00,-3,0,"1,006025314303389"
2023-08-13 22:21:00,-3,0,"1,006025314303389"
2023-08-13 22:22:00,-3,0,"1,006025314303389"
2023-08-13 22:23:00,-3,0,"1,006520628901459"
2023-08-13 22:24:00,-3,0,"1,0070159434995287"
2023-08-13 22:25:00,-3,0,"1,006520628901459"
2023-08-13 22:26:00,-3,0,"1,006025314303389"
2023-08-13 22:27:00,-3,0,"1,006025314303389"
2023-08-13 22:28:00,-3,0,"1,0063555240354356"
2023-08-13 22:29:00,-3,0,"1,0063555240354356"
2023-08-13 22:30:00,-3,0,"1,0056952237806318"
2023-08-13 22:31:00,-3,0,"1,0056952237806318"
2023-08-13 22:32:00,-3,0,"1,0051448344907912"
2023-08-13 22:33:00,-3,0,"1,0053650140485857"
2023-08-13 22:34:00,-3,0,"1,006025314303389"
2023-08-13 22:35:00,-3,0,"1,006025314303389"
2023-08-13 22:36:00,-3,0,"1,006025314303389"
2023-08-13 22:37:00,-3,0,"1,0062454938611831"
2023-08-13 22:38:00,-3,0,"1,0066857337674822"
2023-08-13 22:39:00,-3,0,"1,0071810483655523"
2023-08-13 22:40:00,-3,0,"1,0076762437543323"
2023-08-13 22:41:00,-3,0,"1,0076762437543323"
2023-08-13 22:42:00,-3,0,"1,0074560641965382"
2023-08-13 22:43:00,-3,0,"1,0070159434995287"
2023-08-13 22:44:00,-3,0,"1,0070159434995287"
2023-08-13 22:45:00,-3,0,"1,0070159434995287"
2023-08-13 22:46:00,-3,0,"1,0070159434995287"
2023-08-13 22:47:00,-3,0,"1,0070159434995287"
2023-08-13 22:48:00,-3,0,"1,006520628901459"
2023-08-13 22:49:00,-3,0,"1,0053650140485857"
2023-08-13 22:50:00,-3,0,"1,0047047137937817"
2023-08-13 22:51:00,-3,0,"1,0040442943296886"
2023-08-13 22:52:00,-3,0,"1,0040442943296886"
2023-08-13 22:53:00,-3,0,"1,0047047137937817"
2023-08-13 22:54:00,-3,0,"1,0049247741422866"
2023-08-13 22:55:00,-3,0,"1,005034804316539"
2023-08-13 22:56:00,-3,0,"1,005034804316539"
2023-08-13 22:57:00,-3,0,"1,0048146247587448"
2023-08-13 22:58:00,-3,0,"1,0044845342359876"
2023-08-13 22:59:00,-3,0,"1,0051448344907912"
2023-08-13 23:00:00,-3,0,"1,0053650140485857"
2023-08-13 23:01:00,-3,0,"1,0061904191694124"
2023-08-13 23:02:00,-3,0,"1,0080063342770893"
2023-08-13 23:03:00,-3,0,"1,0085567235669302"
2023-08-13 23:04:00,-3,0,"1,0086667537411826"
2023-08-13 23:05:00,-3,0,"1,0080614089688604"
2023-08-13 23:06:00,-3,0,"1,0065205096921694"
2023-08-13 23:07:00,-3,0,"1,006025314303389"
2023-08-13 23:08:00,-3,0,"1,006905794115987"
2023-08-13 23:09:00,-3,0,"1,0073460340222855"
2023-08-13 23:10:00,-3,0,"1,0070708989820103"
