,P,Q,mean voltage p.u.
2023-07-10 22:00:00,-3,0,"1,0030537843428384"
2023-07-10 22:01:00,-3,0,"1,0030537843428389"
2023-07-10 22:02:00,-3,0,"0,9995381669589992"
2023-07-10 22:03:00,-3,0,"0,9962906716649316"
2023-07-10 22:04:00,-3,0,"0,9962303656437178"
2023-07-10 22:05:00,-3,0,"0,9972764375199624"
2023-07-10 22:06:00,-3,0,"0,9964507662476417"
2023-07-10 22:07:00,-3,0,"0,9964504241669924"
2023-07-10 22:08:00,-3,0,"0,9964504241669337"
2023-07-10 22:09:00,-3,0,"0,9964504241669336"
2023-07-10 22:10:00,-3,0,"0,9961203287332243"
2023-07-10 22:11:00,-3,0,"0,9961202740395333"
2023-07-10 22:12:00,-3,0,"0,9961202740395319"
2023-07-10 22:13:00,-3,0,"0,9964505385031552"
2023-07-10 22:14:00,-3,0,"0,9967806885745341"
2023-07-10 22:15:00,-3,0,"0,9971108386838451"
2023-07-10 22:16:00,-3,0,"0,997936530735807"
2023-07-10 22:17:00,-3,0,"0,9988721222069201"
2023-07-10 22:18:00,-3,0,"0,9994221650931904"
2023-07-10 22:19:00,-3,0,"0,9994220137321962"
2023-07-10 22:20:00,-3,0,"0,9994220137321288"
2023-07-10 22:21:00,-3,0,"0,9994220137321288"
2023-07-10 22:22:00,-3,0,"0,9994220137321288"
2023-07-10 22:23:00,-3,0,"0,9994220137321288"
2023-07-10 22:24:00,-3,0,"0,9999172091209091"
2023-07-10 22:25:00,-3,0,"1,0008527040206332"
2023-07-10 22:26:00,-3,0,"1,0010727643691382"
2023-07-10 22:27:00,-3,0,"1,0014029741011847"
2023-07-10 22:28:00,-3,0,"1,0014029741011847"
2023-07-10 22:29:00,-3,0,"1,0015130042754372"
2023-07-10 22:30:00,-3,0,"1,0017331838332313"
2023-07-10 22:31:00,-3,0,"1,0019532441817358"
2023-07-10 22:32:00,-3,0,"1,002063274355988"
2023-07-10 22:33:00,-3,0,"1,002723574610792"
2023-07-10 22:34:00,-3,0,"1,003439068766656"
2023-07-10 22:35:00,-3,0,"1,0037142038069318"
2023-07-10 22:36:00,-3,0,"1,0037142038069318"
2023-07-10 22:37:00,-3,0,"1,004044413538978"
2023-07-10 22:38:00,-3,0,"1,0051449537000807"
2023-07-10 22:39:00,-3,0,"1,0053650140485857"
2023-07-10 22:40:00,-3,0,"1,0053650140485857"
2023-07-10 22:41:00,-3,0,"1,0049247741422866"
2023-07-10 22:42:00,-3,0,"1,0047047137937817"
2023-07-10 22:43:00,-3,0,"1,0037142038069318"
2023-07-10 22:44:00,-3,0,"1,0037142038069318"
