,P,Q,mean voltage p.u.
2023-10-11 22:00:00,-3,0,"1,005034804316539"
2023-10-11 22:01:00,-3,0,"1,0055852250372277"
2023-10-11 22:02:00,-3,0,"1,002179211607034"
2023-10-11 22:03:00,-3,0,"1,0009085852256443"
2023-10-11 22:04:00,-3,0,"1,0014030962004272"
2023-10-11 22:05:00,-3,0,"1,000742891619667"
2023-10-11 22:06:00,-3,0,"0,9993129470274298"
2023-10-11 22:07:00,-3,0,"0,9981020285693692"
2023-10-11 22:08:00,-3,0,"0,9976061622565235"
2023-10-11 22:09:00,-3,0,"0,9971109070206056"
2023-10-11 22:10:00,-3,0,"0,9967806885971757"
2023-10-11 22:11:00,-3,0,"0,9964505384652682"
2023-10-11 22:12:00,-3,0,"0,9964504837715795"
2023-10-11 22:13:00,-3,0,"0,9974414860608812"
2023-10-11 22:14:00,-3,0,"0,9956816489684146"
2023-10-11 22:15:00,-3,0,"0,9938108647546969"
2023-10-11 22:16:00,-3,0,"0,9939741626137336"
2023-10-11 22:17:00,-3,0,"0,9941392677760407"
2023-10-11 22:18:00,-3,0,"0,9946346324141708"
2023-10-11 22:19:00,-3,0,"0,9956805835132355"
2023-10-11 22:20:00,-3,0,"0,9957900643074854"
2023-10-11 22:21:00,-3,0,"0,9957900643074854"
2023-10-11 22:22:00,-3,0,"0,9968907236778771"
2023-10-11 22:23:00,-3,0,"0,998101294013232"
2023-10-11 22:24:00,-3,0,"0,9995320439063812"
2023-10-11 22:25:00,-3,0,"1,0004124641143344"
2023-10-11 22:26:00,-3,0,"0,9990918636047272"
2023-10-11 22:27:00,-3,0,"0,9990918636047272"
2023-10-11 22:28:00,-3,0,"0,9986516236984285"
2023-10-11 22:29:00,-3,0,"0,998101353617877"
2023-10-11 22:30:00,-3,0,"0,9974409937584287"
2023-10-11 22:31:00,-3,0,"0,9976610541069331"
2023-10-11 22:32:00,-3,0,"0,9977711438858304"
2023-10-11 22:33:00,-3,0,"0,998101294013232"
2023-10-11 22:34:00,-3,0,"0,9987616538726803"
2023-10-11 22:35:00,-3,0,"0,9987616538726803"
2023-10-11 22:36:00,-3,0,"0,9984865188324048"
2023-10-11 22:37:00,-3,0,"0,9984315037452789"
2023-10-11 22:38:00,-3,0,"0,9984315037452789"
2023-10-11 22:39:00,-3,0,"0,998541533919531"
2023-10-11 22:40:00,-3,0,"0,9994219541274841"
2023-10-11 22:41:00,-3,0,"0,999752104254886"
2023-10-11 22:42:00,-3,0,"1,0000822543822878"
2023-10-11 22:43:00,-3,0,"1,0005775689803575"
2023-10-11 22:44:00,-3,0,"1,0010727643691382"
2023-10-11 22:45:00,-3,0,"1,0005775689803575"
2023-10-11 22:46:00,-3,0,"1,0000822543822878"
2023-10-11 22:47:00,-3,0,"1,0000822543822878"
2023-10-11 22:48:00,-3,0,"1,0006325244628391"
2023-10-11 22:49:00,-3,0,"1,0007426738463812"
2023-10-11 22:50:00,-3,0,"1,000302433940082"
2023-10-11 22:51:00,-3,0,"0,9995320439063812"
2023-10-11 22:52:00,-3,0,"0,9990918040000824"
2023-10-11 22:53:00,-3,0,"0,999752104254886"
2023-10-11 22:54:00,-3,0,"1,0009627341948857"
2023-10-11 22:55:00,-3,0,"1,0017331838332313"
2023-10-11 22:56:00,-3,0,"0,9993119239532317"
2023-10-11 22:57:00,-3,0,"0,9989817738258301"
2023-10-11 22:58:00,-3,0,"1,0004124641143344"
2023-10-11 22:59:00,-3,0,"1,0008527040206332"
2023-10-11 23:00:00,-3,0,"1,0000823735915774"
2023-10-11 23:01:00,-3,0,"1,0012379884444509"
2023-10-11 23:02:00,-3,0,"0,9999172687255542"
2023-10-11 23:03:00,-3,0,"0,9995320439063812"
2023-10-11 23:04:00,-3,0,"1,0000822543822878"
2023-10-11 23:05:00,-3,0,"0,9994219541274841"
2023-10-11 23:06:00,-3,0,"0,9987616538726803"
2023-10-11 23:07:00,-3,0,"1,0004124641143344"
2023-10-11 23:08:00,-3,0,"1,0015130042754372"
2023-10-11 23:09:00,-3,0,"1,0007426738463812"
2023-10-11 23:10:00,-3,0,"1,0007426738463812"
2023-10-11 23:11:00,-3,0,"1,0010728835784275"
2023-10-11 23:12:00,-3,0,"1,0017331838332313"
2023-10-11 23:13:00,-3,0,"1,0014029741011847"
2023-10-11 23:14:00,-3,0,"1,0004124641143344"
2023-10-11 23:15:00,-3,0,"1,0012929439269322"
2023-10-11 23:16:00,-3,0,"1,0020083188735067"
2023-10-11 23:17:00,-3,0,"1,0011829137526802"
2023-10-11 23:18:00,-3,0,"1,0017331838332313"
2023-10-11 23:19:00,-3,0,"1,0019532441817358"
2023-10-11 23:20:00,-3,0,"1,0023053474297603"
2023-10-11 23:21:00,-3,0,"1,002063303588284"
2023-10-11 23:22:00,-3,0,"1,0020632743559883"
2023-10-11 23:23:00,-3,0,"1,0020632743559883"
2023-10-11 23:24:00,-3,0,"1,002063274355988"
2023-10-11 23:25:00,-3,0,"1,0017881770874244"
2023-10-11 23:26:00,-3,0,"1,001733185342661"
2023-10-11 23:27:00,-3,0,"1,0017331838332313"
2023-10-11 23:28:00,-3,0,"1,00189818307655"
2023-10-11 23:29:00,-3,0,"1,0020632879577347"
2023-10-11 23:30:00,-3,0,"1,0020632743559883"
2023-10-11 23:31:00,-3,0,"1,0033848644293928"
2023-10-11 23:32:00,-3,0,"1,0037142578561953"
2023-10-11 23:33:00,-3,0,"1,003714203806933"
2023-10-11 23:34:00,-3,0,"1,0037142038069315"
2023-10-11 23:35:00,-3,0,"1,0027241825598192"
2023-10-11 23:36:00,-3,0,"1,0027236938202009"
2023-10-11 23:37:00,-3,0,"1,003163911107123"
2023-10-11 23:38:00,-3,0,"1,0033840182167588"
2023-10-11 23:39:00,-3,0,"1,002833874895547"
2023-10-11 23:40:00,-3,0,"1,0021742951467656"
2023-10-11 23:41:00,-3,0,"1,0035500419333012"
2023-10-11 23:42:00,-3,0,"1,004044535308334"
2023-10-11 23:43:00,-3,0,"1,005145556721458"
2023-10-11 23:44:00,-3,0,"1,0084521142510048"
2023-10-11 23:45:00,-3,0,"1,0081715973783565"
2023-10-11 23:46:00,-3,0,"1,0062473337636209"
2023-10-11 23:47:00,-3,0,"1,0049256432943794"
2023-10-11 23:48:00,-3,0,"1,0043746551945358"
2023-10-11 23:49:00,-3,0,"1,0043745040617469"
2023-10-11 23:50:00,-3,0,"1,005696092132312"
2023-10-11 23:51:00,-3,0,"1,0047052024259928"
2023-10-11 23:52:00,-3,0,"1,0040446308375213"
2023-10-11 23:53:00,-3,0,"1,0028894639692607"
2023-10-11 23:54:00,-3,0,"1,0020637337784002"
2023-10-11 23:55:00,-3,0,"1,0017881772136552"
2023-10-11 23:56:00,-3,0,"1,001733185342668"
2023-10-11 23:57:00,-3,0,"1,001623159701991"
2023-10-11 23:58:00,-3,0,"1,0007430608458905"
2023-10-11 23:59:00,-3,0,"1,0007426738464558"
2023-10-12 00:00:00,-3,0,"1,0032196885761695"
2023-10-12 00:01:00,-3,0,"1,004044633225873"
2023-10-12 00:02:00,-3,0,"1,0033842114178562"
2023-10-12 00:03:00,-3,0,"1,003108896816216"
2023-10-12 00:04:00,-3,0,"1,0036041766339776"
2023-10-12 00:05:00,-3,0,"1,0052563415632547"
2023-10-12 00:06:00,-3,0,"1,0071827714910235"
2023-10-12 00:07:00,-3,0,"1,0080066709864148"
2023-10-12 00:08:00,-3,0,"1,0080063342771457"
2023-10-12 00:09:00,-3,0,"1,0074562143925991"
2023-10-12 00:10:00,-3,0,"1,006850901379596"
2023-10-12 00:11:00,-3,0,"1,0054759842740972"
2023-10-12 00:12:00,-3,0,"1,0022336239711347"
2023-10-12 00:13:00,-3,0,"1,0029440057490986"
2023-10-12 00:14:00,-3,0,"1,0027237180175173"
2023-10-12 00:15:00,-3,0,"1,003219130741268"
2023-10-12 00:16:00,-3,0,"1,004209887938192"
2023-10-12 00:17:00,-3,0,"1,0028896676662018"
2023-10-12 00:18:00,-3,0,"1,0033841159021435"
2023-10-12 00:19:00,-3,0,"1,0047054634760375"
2023-10-12 00:20:00,-3,0,"1,0027323321154873"
2023-10-12 00:21:00,-3,0,"1,0021735795032185"
2023-10-12 00:22:00,-3,0,"1,0028890539006157"
2023-10-12 00:23:00,-3,0,"1,0050370998071667"
2023-10-12 00:24:00,-3,0,"1,0053650675430037"
2023-10-12 00:25:00,-3,0,"1,005144858612674"
2023-10-12 00:26:00,-3,0,"1,0047046910046311"
2023-10-12 00:27:00,-3,0,"1,004374558318184"
2023-10-12 00:28:00,-3,0,"1,0033844825467964"
2023-10-12 00:29:00,-3,0,"1,003383994075004"
2023-10-12 00:30:00,-3,0,"1,003383994074885"
2023-10-12 00:31:00,-3,0,"1,0037142581422944"
2023-10-12 00:32:00,-3,0,"1,0043747212174998"
2023-10-12 00:33:00,-3,0,"1,003439504582836"
2023-10-12 00:34:00,-3,0,"1,0027239491344504"
2023-10-12 00:35:00,-3,0,"1,0028888122368802"
2023-10-12 00:36:00,-3,0,"1,0040450793228386"
2023-10-12 00:37:00,-3,0,"1,0048701573871133"
2023-10-12 00:38:00,-3,0,"1,005034937033982"
2023-10-12 00:39:00,-3,0,"1,0050349235258285"
2023-10-12 00:40:00,-3,0,"1,0047064588675527"
2023-10-12 00:41:00,-3,0,"1,0043745589006348"
2023-10-12 00:42:00,-3,0,"1,0051452491616402"
2023-10-12 00:43:00,-3,0,"1,0059156983890454"
2023-10-12 00:44:00,-3,0,"1,0061354876933095"
2023-10-12 00:45:00,-3,0,"1,004815610831398"
2023-10-12 00:46:00,-3,0,"1,004484588779185"
2023-10-12 00:47:00,-3,0,"1,0033845970252522"
2023-10-12 00:48:00,-3,0,"1,0042648596733992"
2023-10-12 00:49:00,-3,0,"1,004704810118793"
2023-10-12 00:50:00,-3,0,"1,0047047137937863"
2023-10-12 00:51:00,-3,0,"1,0050348585413034"
2023-10-12 00:52:00,-3,0,"1,0060258023474649"
2023-10-12 00:53:00,-3,0,"1,0060253143035074"
2023-10-12 00:54:00,-3,0,"1,006025314303389"
2023-10-12 00:55:00,-3,0,"1,006025314303389"
2023-10-12 00:56:00,-3,0,"1,006025314303389"
2023-10-12 00:57:00,-3,0,"1,006025314303389"
2023-10-12 00:58:00,-3,0,"1,0048154723197544"
2023-10-12 00:59:00,-3,0,"1,0028356782468972"
2023-10-12 01:00:00,-3,0,"1,0016235409936656"
2023-10-12 01:01:00,-3,0,"1,0031651182082113"
2023-10-12 01:02:00,-3,0,"1,0007455987071932"
2023-10-12 01:03:00,-3,0,"0,9998626434970048"
2023-10-12 01:04:00,-3,0,"0,996785383942956"
2023-10-12 01:05:00,-3,0,"0,9967806339102979"
2023-10-12 01:06:00,-3,0,"0,9967806338989802"
2023-10-12 01:07:00,-3,0,"0,99678063389898"
2023-10-12 01:08:00,-3,0,"0,9967806338989805"
2023-10-12 01:09:00,-3,0,"0,9967806338989802"
2023-10-12 01:10:00,-3,0,"0,9961204927813136"
2023-10-12 01:11:00,-3,0,"0,9961202740395558"
2023-10-12 01:12:00,-3,0,"0,9966156521493691"
2023-10-12 01:13:00,-3,0,"0,9983779844852833"
2023-10-12 01:14:00,-3,0,"0,9992572360905511"
2023-10-12 01:15:00,-3,0,"0,9981019626108851"
2023-10-12 01:16:00,-3,0,"0,9978261970791067"
2023-10-12 01:17:00,-3,0,"0,9997539628543392"
2023-10-12 01:18:00,-3,0,"0,9997521042566692"
2023-10-12 01:19:00,-3,0,"0,9999722484403837"
2023-10-12 01:20:00,-3,0,"1,0004230941583805"
2023-10-12 01:21:00,-3,0,"1,0004124641708096"
2023-10-12 01:22:00,-3,0,"0,9996423707087309"
2023-10-12 01:23:00,-3,0,"0,9990919556160995"
2023-10-12 01:24:00,-3,0,"0,9990918040000941"
2023-10-12 01:25:00,-3,0,"0,9988167068438579"
2023-10-12 01:26:00,-3,0,"0,9990918418841328"
2023-10-12 01:27:00,-3,0,"1,0009093095984194"
2023-10-12 01:28:00,-3,0,"1,0044357692718704"
2023-10-12 01:29:00,-3,0,"1,0052001998481386"
2023-10-12 01:30:00,-3,0,"1,0033856348442616"
2023-10-12 01:31:00,-3,0,"1,003879310850774"
2023-10-12 01:32:00,-3,0,"1,0043746261960964"
2023-10-12 01:33:00,-3,0,"1,0041544678478136"
2023-10-12 01:34:00,-3,0,"1,0038793463726186"
2023-10-12 01:35:00,-3,0,"1,0040444271099165"
2023-10-12 01:36:00,-3,0,"1,0040444135389783"
2023-10-12 01:37:00,-3,0,"1,0041544497421668"
2023-10-12 01:38:00,-3,0,"1,004374528173516"
2023-10-12 01:39:00,-3,0,"1,0043745040617356"
2023-10-12 01:40:00,-3,0,"1,004375684706251"
2023-10-12 01:41:00,-3,0,"1,004374504062429"
2023-10-12 01:42:00,-3,0,"1,0043745040617351"
2023-10-12 01:43:00,-3,0,"1,0043745040617351"
2023-10-12 01:44:00,-3,0,"1,0036044690448822"
2023-10-12 01:45:00,-3,0,"1,0030540545689732"
2023-10-12 01:46:00,-3,0,"1,0026136411657118"
2023-10-12 01:47:00,-3,0,"1,0000854499896403"
2023-10-12 01:48:00,-3,0,"0,9992022840814168"
2023-10-12 01:49:00,-3,0,"1,0002479057753366"
2023-10-12 01:50:00,-3,0,"1,000962989621399"
2023-10-12 01:51:00,-3,0,"1,0014030708012347"
2023-10-12 01:52:00,-3,0,"1,0011829379532875"
2023-10-12 01:53:00,-3,0,"0,9999180092091926"
2023-10-12 01:54:00,-3,0,"0,999752118018297"
2023-10-12 01:55:00,-3,0,"1,000633031431016"
2023-10-12 01:56:00,-3,0,"1,0010728609905024"
2023-10-12 01:57:00,-3,0,"1,0011278405705832"
2023-10-12 01:58:00,-3,0,"1,0011829152674994"
2023-10-12 01:59:00,-3,0,"1,001402998285522"
2023-10-12 02:00:00,-3,0,"1,0019552064083102"
2023-10-12 02:01:00,-3,0,"1,0034952059189033"
2023-10-12 02:02:00,-3,0,"1,0023390761549025"
2023-10-12 02:03:00,-3,0,"1,0007439451229334"
2023-10-12 02:04:00,-3,0,"1,0005775828105792"
2023-10-12 02:05:00,-3,0,"0,9994226214808586"
2023-10-12 02:06:00,-3,0,"0,9994219541277622"
2023-10-12 02:07:00,-3,0,"0,9996971866603517"
2023-10-12 02:08:00,-3,0,"0,999752165371235"
2023-10-12 02:09:00,-3,0,"0,9981026570391024"
2023-10-12 02:10:00,-3,0,"0,9971112768675072"
2023-10-12 02:11:00,-3,0,"0,9967806887197284"
2023-10-12 02:12:00,-3,0,"0,9984879187529389"
2023-10-12 02:13:00,-3,0,"0,9989267955439503"
2023-10-12 02:14:00,-3,0,"0,9981016351056828"
2023-10-12 02:15:00,-3,0,"0,9981012940132904"
2023-10-12 02:16:00,-3,0,"0,9981012940132323"
2023-10-12 02:17:00,-3,0,"0,9984314987438627"
2023-10-12 02:18:00,-3,0,"0,9987617084595048"
2023-10-12 02:19:00,-3,0,"0,9987616538726819"
2023-10-12 02:20:00,-3,0,"0,997958993380192"
2023-10-12 02:21:00,-3,0,"0,9979361894077571"
2023-10-12 02:22:00,-3,0,"0,9987619952730576"
2023-10-12 02:23:00,-3,0,"0,9979365305477432"
2023-10-12 02:24:00,-3,0,"0,997716153137392"
2023-10-12 02:25:00,-3,0,"0,997111027250184"
2023-10-12 02:26:00,-3,0,"0,996450702562503"
2023-10-12 02:27:00,-3,0,"0,9972762305713652"
2023-10-12 02:28:00,-3,0,"0,9974410073689544"
2023-10-12 02:29:00,-3,0,"0,9976610783793296"
2023-10-12 02:30:00,-3,0,"0,9977711499572387"
2023-10-12 02:31:00,-3,0,"0,9979912881181551"
2023-10-12 02:32:00,-3,0,"0,9995883347985757"
