,mean voltage p.u.,P,Q
2023-06-16 22:00:00,"1,0096571445187432",-11,0
2023-06-16 22:01:00,"1,0111242190935106",48303,140564310
2023-06-16 22:02:00,"1,0122653301900495",49480,283320583
2023-06-16 22:03:00,"1,0119604096972366",3545,245063358
2023-06-16 22:04:00,"1,0094921209322936",18271,16224
2023-06-16 22:05:00,"1,007128746678513",-11,37
2023-06-16 22:06:00,"1,006685831203108",-11,0
2023-06-16 22:07:00,"1,006685733767487",-11,0
2023-06-16 22:08:00,"1,0064106363254797",-11,0
2023-06-16 22:09:00,"1,0053655572294231",-11,0
2023-06-16 22:10:00,"1,0052549899549408",-11,0
2023-06-16 22:11:00,"1,0050349476138625",-11,0
2023-06-16 22:12:00,"1,005034923525829",-11,0
2023-06-16 22:13:00,"1,0050349235258285",-11,0
2023-06-16 22:14:00,"1,0050349235258282",-11,0
2023-06-16 22:15:00,"1,004374721046169",-11,0
2023-06-16 22:16:00,"1,0043745040617589",-11,0
2023-06-16 22:17:00,"1,0049249248814582",-11,0
2023-06-16 22:18:00,"1,0050349295460304",-11,0
2023-06-16 22:19:00,"1,0050349235258285",-11,0
2023-06-16 22:20:00,"1,0043745040617351",-11,0
2023-06-16 22:21:00,"1,0043745040617351",-11,0
2023-06-16 22:22:00,"1,0050349235258285",-11,0
2023-06-16 22:23:00,"1,0053650140485857",-11,0
2023-06-16 22:24:00,"1,0055301189146086",-11,0
2023-06-16 22:25:00,"1,0062454938611831",-11,0
2023-06-16 22:26:00,"1,0056952237806318",-11,0
2023-06-16 22:27:00,"1,0056952237806318",-11,0
2023-06-16 22:28:00,"1,005640149088861",-11,0
2023-06-16 22:29:00,"1,0053650140485857",-11,0
2023-06-16 22:30:00,"1,0053650140485857",-11,0
2023-06-16 22:31:00,"1,0058052539548843",-11,0
2023-06-16 22:32:00,"1,006025314303389",-11,0
2023-06-16 22:33:00,"1,006025314303389",-11,0
2023-06-16 22:34:00,"1,0066856145581924",-11,0
2023-06-16 22:35:00,"1,0070158242902392",-11,0
2023-06-16 22:36:00,"1,0070158242902392",-11,0
2023-06-16 22:37:00,"1,0070708989820103",-11,0
2023-06-16 22:38:00,"1,007235884638744",-11,0
2023-06-16 22:39:00,"1,0066856145581924",-11,0
2023-06-16 22:40:00,"1,006850719424216",-11,0
2023-06-16 22:41:00,"1,0076761245450427",-11,0
2023-06-16 22:42:00,"1,0076761245450427",-11,0
2023-06-16 22:43:00,"1,0073460340222855",-11,0
2023-06-16 22:44:00,"1,0070158242902392",-11,0
2023-06-16 22:45:00,"1,0073460340222855",-11,0
2023-06-16 22:46:00,"1,0076761245450427",-11,0
2023-06-16 22:47:00,"1,0077862739285848",-11,0
2023-06-16 22:48:00,"1,0089968442639397",-11,0
2023-06-16 22:49:00,"1,0089968442639397",-11,0
2023-06-16 22:50:00,"1,0089968442639397",-11,0
2023-06-16 22:51:00,"1,0089968442639397",-11,0
2023-06-16 22:52:00,"1,0090519189557106",-11,0
2023-06-16 22:53:00,"1,009217023821734",-11,0
2023-06-16 22:54:00,"1,0089969634732292",-11,0
2023-06-16 22:55:00,"1,0089969634732292",-11,0
2023-06-16 22:56:00,"1,0093270539959862",-11,0
2023-06-16 22:57:00,"1,0094921588620096",-11,0
2023-06-16 22:58:00,"1,0096572637280328",-11,0
2023-06-16 22:59:00,"1,0096572637280328",-11,0
2023-06-16 23:00:00,"1,0096572637280328",-11,0
2023-06-16 23:01:00,"1,0096572637280328",-11,0
2023-06-16 23:02:00,"1,0096572637280328",-11,0
2023-06-16 23:03:00,"1,0096572637280328",-11,0
2023-06-16 23:04:00,"1,0088317393979165",-11,0
2023-06-16 23:05:00,"1,0065757035932297",-11,0
2023-06-16 23:06:00,"1,0066857337674822",-11,0
2023-06-16 23:07:00,"1,0076762437543323",-11,0
2023-06-16 23:08:00,"1,0076762437543323",-11,0
2023-06-16 23:09:00,"1,0085567235669302",-11,0
2023-06-16 23:10:00,"1,0096572637280328",-11,0
2023-06-16 23:11:00,"1,0107438793431476",21154,93001802
2023-06-16 23:12:00,"1,0122655049263078",195850,283334567
2023-06-16 23:13:00,"1,0122655049263078",195850,283334567
2023-06-16 23:14:00,"1,01211342256897",170476,264305450
2023-06-16 23:15:00,"1,011809061592065",124965,226226570
2023-06-16 23:16:00,"1,011809061592065",124965,226226570
2023-06-16 23:17:00,"1,0113525237553462",69895,169118497
2023-06-16 23:18:00,"1,0113525237553462",69895,169118497
2023-06-16 23:19:00,"1,010439329174906",7375,54922814
2023-06-16 23:20:00,"1,0104393269920702",7374,54921787
2023-06-16 23:21:00,"1,0096573019552146",8558,7665
2023-06-16 23:22:00,"1,0093271080062511",-11,2
2023-06-16 23:23:00,"1,009987570199168",-11,0
2023-06-16 23:24:00,"1,009987354250813",-11,0
2023-06-16 23:25:00,"1,0101347368900635",-11,16843818
2023-06-16 23:26:00,"1,0108962089524691",22174,112095619
2023-06-16 23:27:00,"1,0108957166885408",-11,111965778
2023-06-16 23:28:00,"1,0116568426503771",22063,207174682
2023-06-16 23:29:00,"1,011808370993287",-11,226050256
2023-06-16 23:30:00,"1,012416624123744",14016,302122668
2023-06-16 23:31:00,"1,0124163113346367",-11,302040109
2023-06-16 23:32:00,"1,010746123906472",105441,93594084
2023-06-16 23:33:00,"1,0099873542963091",-11,8
2023-06-16 23:34:00,"1,0108958912678156",30682,112010333
2023-06-16 23:35:00,"1,012265981600866",71465,283469724
2023-06-16 23:36:00,"1,0128724189055622",13787,359096615
2023-06-16 23:37:00,"1,0122647052615614",13936,283132683
2023-06-16 23:38:00,"1,012568287079758",3463,321047885
2023-06-16 23:39:00,"1,013176074149264",13933,397053796
2023-06-16 23:40:00,"1,0124175652622411",222968,302358424
2023-06-16 23:41:00,"1,0136325000847852",55459,454236806
2023-06-16 23:42:00,"1,014086576728805",7665,510847366
2023-06-16 23:43:00,"1,0149970161486572",31016,624725194
2023-06-16 23:44:00,"1,0143900441648048",13770,548799813
2023-06-16 23:45:00,"1,0136315759436745",21530,454015506
2023-06-16 23:46:00,"1,0131759375906568",7810,397017733
2023-06-16 23:47:00,"1,012720262148796",7814,340058309
2023-06-16 23:48:00,"1,012340394425414",5441,292567430
2023-06-16 23:49:00,"1,0115807504561636",21821,197662745
2023-06-16 23:50:00,"1,0108962789356142",17816,112091160
2023-06-16 23:51:00,"1,0114284715308433",10756,178593432
