,mean voltage p.u.,P,Q
2023-07-03 22:00:00,"1,0044845342359878",-11,0
2023-07-03 22:01:00,"1,00437451008803",-11,0
2023-07-03 22:02:00,"1,0028349058352524",-11,0
2023-07-03 22:03:00,"1,0014039964172607",-11,0
2023-07-03 22:04:00,"1,001402974101707",-11,0
2023-07-03 22:05:00,"0,9998633793723927",-10,0
2023-07-03 22:06:00,"0,9987622608551456",-10,0
2023-07-03 22:07:00,"0,9981015127225207",-10,0
2023-07-03 22:08:00,"0,9987618721803042",-10,0
2023-07-03 22:09:00,"0,9986516297833264",-10,0
2023-07-03 22:10:00,"0,9981014456524282",-10,0
2023-07-03 22:11:00,"0,9986517753342584",-10,0
2023-07-03 22:12:00,"0,9987616599174771",-10,0
2023-07-03 22:13:00,"0,999036767186803",-10,0
2023-07-03 22:14:00,"0,9988716976862928",-10,0
2023-07-03 22:15:00,"0,9984315411616956",-10,0
2023-07-03 22:16:00,"0,9984314441406392",-10,0
2023-07-03 22:17:00,"0,9990369724219472",-10,0
2023-07-03 22:18:00,"0,9994220879319357",-10,0
2023-07-03 22:19:00,"0,9992569225160561",-10,0
2023-07-03 22:20:00,"0,9990918040000826",-10,0
2023-07-03 22:21:00,"0,9985415339195312",-10,0
2023-07-03 22:22:00,"0,9984314441406342",-10,0
2023-07-03 22:23:00,"0,998761653872681",-10,0
2023-07-03 22:24:00,"0,9990918040000826",-10,0
2023-07-03 22:25:00,"0,9990918040000826",-10,0
2023-07-03 22:26:00,"0,9990918040000826",-10,0
2023-07-03 22:27:00,"0,9990918040000826",-10,0
2023-07-03 22:28:00,"0,9990918040000826",-10,0
2023-07-03 22:29:00,"0,9990918040000826",-10,0
2023-07-03 22:30:00,"0,9990918040000826",-10,0
2023-07-03 22:31:00,"0,9990918040000826",-10,0
2023-07-03 22:32:00,"0,9990918040000826",-10,0
2023-07-03 22:33:00,"0,9990918040000826",-10,0
2023-07-03 22:34:00,"0,9990918040000826",-10,0
2023-07-03 22:35:00,"0,9990918040000826",-10,0
2023-07-03 22:36:00,"0,9990918040000826",-10,0
2023-07-03 22:37:00,"0,9990918040000826",-10,0
2023-07-03 22:38:00,"0,9990918040000826",-10,0
2023-07-03 22:39:00,"0,9990918040000826",-10,0
2023-07-03 22:40:00,"0,9994219541274845",-10,0
2023-07-03 22:41:00,"0,9999172091209096",-10,0
2023-07-03 22:42:00,"1,001402974101185",-11,0
2023-07-03 22:43:00,"1,001402974101185",-11,0
2023-07-03 22:44:00,"1,0017331838332313",-11,0
2023-07-03 22:45:00,"1,001402974101185",-11,0
2023-07-03 22:46:00,"1,0004124641143346",-11,0
2023-07-03 22:47:00,"1,0000823735915776",-11,0
2023-07-03 22:48:00,"1,0000823735915776",-11,0
2023-07-03 22:49:00,"0,9988716840469332",-10,0
2023-07-03 22:50:00,"0,9989817738258302",-10,0
2023-07-03 22:51:00,"0,9994219541274845",-10,0
2023-07-03 22:52:00,"0,9996971487724048",-10,0
2023-07-03 22:53:00,"0,9998071789466573",-10,0
2023-07-03 22:54:00,"0,999752163859531",-10,0
2023-07-03 22:55:00,"0,999752163859531",-10,0
2023-07-03 22:56:00,"0,999752163859531",-10,0
2023-07-03 22:57:00,"0,999752163859531",-10,0
2023-07-03 22:58:00,"0,999752163859531",-10,0
2023-07-03 22:59:00,"0,999752163859531",-10,0
2023-07-03 23:00:00,"0,999752163859531",-10,0
2023-07-03 23:01:00,"0,999752163859531",-10,0
2023-07-03 23:02:00,"0,9968356489861064",-10,0
2023-07-03 23:03:00,"0,9959552287781536",-10,0
2023-07-03 23:04:00,"0,9974409937584288",-10,0
2023-07-03 23:05:00,"0,9974409937584288",-10,0
2023-07-03 23:06:00,"0,9973309039795318",-10,0
2023-07-03 23:07:00,"0,9977710842811859",-10,0
2023-07-03 23:08:00,"0,9982113837921296",-10,0
2023-07-03 23:09:00,"0,9956250786507517",-10,0
2023-07-03 23:10:00,"0,9967806338989805",-10,0
2023-07-03 23:11:00,"0,9972208142006344",-10,0
2023-07-03 23:12:00,"0,9981012940132323",-10,0
2023-07-03 23:13:00,"0,9981012940132323",-10,0
