,mean voltage p.u.,P,Q
2023-10-12 22:00:00,"1,009987473460079",-11,0
2023-10-12 22:01:00,"1,008887413825368",-11,0
2023-10-12 22:02:00,"1,008666777872157",-11,0
2023-10-12 22:03:00,"1,007786658241428",-11,0
2023-10-12 22:04:00,"1,0078413501043195",-11,0
2023-10-12 22:05:00,"1,0074561378416762",-11,0
2023-10-12 22:06:00,"1,0070159205108171",-11,0
2023-10-12 22:07:00,"1,007290996890175",-11,0
2023-10-12 22:08:00,"1,0073460355258663",-11,0
2023-10-12 22:09:00,"1,0073460340222855",-11,0
2023-10-12 22:10:00,"1,007346034022286",-11,0
2023-10-12 22:11:00,"1,007346034022286",-11,0
2023-10-12 22:12:00,"1,007346034022286",-11,0
2023-10-12 22:13:00,"1,007346034022286",-11,0
2023-10-12 22:14:00,"1,007346034022286",-11,0
2023-10-12 22:15:00,"1,0075661184074949",-11,0
2023-10-12 22:16:00,"1,0080064304444816",-11,0
2023-10-12 22:17:00,"1,0078412429483714",-11,0
2023-10-12 22:18:00,"1,0073461556842451",-11,0
2023-10-12 22:19:00,"1,0069058903680594",-11,0
2023-10-12 22:20:00,"1,0080063342770893",-11,0
2023-10-12 22:21:00,"1,008501648875159",-11,0
2023-10-12 22:22:00,"1,0099873542507898",-11,0
2023-10-12 22:23:00,"1,0099873542507898",-11,0
2023-10-12 22:24:00,"1,0112876801878463",28833,108627188
2023-10-12 22:25:00,"1,0133290901160996",191848,280719575
2023-10-12 22:26:00,"1,0136076419519748",225149,304190652
2023-10-12 22:27:00,"1,0150006732993913",431173,421529508
2023-10-12 22:28:00,"1,0133755467449204",197219,284634244
2023-10-12 22:29:00,"1,0041544437132306",-11,0
2023-10-12 22:30:00,"0,9990918040000824",-10,0
2023-10-12 22:31:00,"0,9977711438858304",-10,0
2023-10-12 22:32:00,"0,9971107840263822",-10,0
2023-10-12 22:33:00,"0,9971107840263822",-10,0
2023-10-12 22:34:00,"0,9971107840263822",-10,0
2023-10-12 22:35:00,"0,9971107840263822",-10,0
2023-10-12 22:36:00,"0,9977710842811855",-10,0
2023-10-12 22:37:00,"0,999752104254886",-10,0
2023-10-12 22:38:00,"0,9995870589935073",-10,0
2023-10-12 22:39:00,"0,9982663988792557",-10,0
2023-10-12 22:40:00,"0,9977711438858304",-10,0
2023-10-12 22:41:00,"0,9983214139663816",-10,0
2023-10-12 22:42:00,"0,9990918636047272",-10,0
2023-10-12 22:43:00,"0,9990918636047272",-10,0
2023-10-12 22:44:00,"0,998101353617877",-10,0
2023-10-12 22:45:00,"0,9977711438858304",-10,0
2023-10-12 22:46:00,"0,9977711438858304",-10,0
2023-10-12 22:47:00,"0,9979361891472089",-10,0
2023-10-12 22:48:00,"0,9987616538726803",-10,0
2023-10-12 22:49:00,"0,998541533919531",-10,0
2023-10-12 22:50:00,"0,9976610541069331",-10,0
2023-10-12 22:51:00,"0,9983764290535082",-10,0
2023-10-12 22:52:00,"0,9977160691940595",-10,0
2023-10-12 22:53:00,"0,9971107840263822",-10,0
2023-10-12 22:54:00,"0,9971107840263822",-10,0
2023-10-12 22:55:00,"0,9974409937584287",-10,0
2023-10-12 22:56:00,"0,9977711438858304",-10,0
2023-10-12 22:57:00,"0,9977711438858304",-10,0
2023-10-12 22:58:00,"0,998101294013232",-10,0
2023-10-12 22:59:00,"0,9987616538726803",-10,0
2023-10-12 23:00:00,"0,9994219541274841",-10,0
2023-10-12 23:01:00,"0,9989266991340588",-10,0
2023-10-12 23:02:00,"0,9984314441406339",-10,0
2023-10-12 23:03:00,"0,9984314441406339",-10,0
2023-10-12 23:04:00,"0,9982663988792557",-10,0
2023-10-12 23:05:00,"0,9961202740395315",-10,0
2023-10-12 23:06:00,"0,9947996139252798",-10,0
2023-10-12 23:07:00,"0,9946895837510273",-10,0
2023-10-12 23:08:00,"0,9943594336236256",-10,0
2023-10-12 23:09:00,"0,9947996139252798",-10,0
2023-10-12 23:10:00,"0,9956800341332328",-10,0
2023-10-12 23:11:00,"0,9961202740395315",-10,0
2023-10-12 23:12:00,"0,9961202740395315",-10,0
2023-10-12 23:13:00,"0,996395468684452",-10,0
2023-10-12 23:14:00,"0,9964504837715784",-10,0
2023-10-12 23:15:00,"0,9964504837715784",-10,0
2023-10-12 23:16:00,"0,9941943287576024",-10,0
2023-10-12 23:17:00,"0,9938091039384298",-10,0
2023-10-12 23:18:00,"0,994139313670476",-10,0
2023-10-12 23:19:00,"0,994469463797878",-10,0
2023-10-12 23:20:00,"0,9951986270677436",-10,0
2023-10-12 23:21:00,"0,9951297664351779",-10,0
2023-10-12 23:22:00,"0,9959555114854881",-10,0
2023-10-12 23:23:00,"0,9961202876680016",-10,0
2023-10-12 23:24:00,"0,9961202740395319",-10,0
2023-10-12 23:25:00,"0,9961202740395319",-10,0
2023-10-12 23:26:00,"0,9961202740395315",-10,0
2023-10-12 23:27:00,"0,9974418096219289",-10,0
2023-10-12 23:28:00,"0,997771198255447",-10,0
2023-10-12 23:29:00,"0,9964512983373824",-10,0
2023-10-12 23:30:00,"0,9964504241673171",-10,0
2023-10-12 23:31:00,"0,9964504241669336",-10,0
2023-10-12 23:32:00,"0,9968907016930423",-10,0
2023-10-12 23:33:00,"0,996780580377271",-10,0
2023-10-12 23:34:00,"0,9960104819741878",-10,0
2023-10-12 23:35:00,"0,9957900886967603",-10,0
2023-10-12 23:36:00,"0,9957900643074856",-10,0
2023-10-12 23:37:00,"0,9966158711693353",-10,0
2023-10-12 23:38:00,"0,9977718134793457",-10,0
2023-10-12 23:39:00,"0,997771143886055",-10,0
2023-10-12 23:40:00,"0,9979974998653136",-10,0
2023-10-12 23:41:00,"0,9984315384833723",-10,0
2023-10-12 23:42:00,"0,9984314441406384",-10,0
2023-10-12 23:43:00,"0,9984314441406339",-10,0
2023-10-12 23:44:00,"0,9984314441406339",-10,0
2023-10-12 23:45:00,"0,9987616488532088",-10,0
2023-10-12 23:46:00,"0,999091858568868",-10,0
2023-10-12 23:47:00,"0,9990918040001393",-10,0
2023-10-12 23:48:00,"0,9985416258839219",-10,0
2023-10-12 23:49:00,"0,9984314502195075",-10,0
2023-10-12 23:50:00,"0,9984314441406339",-10,0
2023-10-12 23:51:00,"0,9984314441406339",-10,0
2023-10-12 23:52:00,"0,9984314441406339",-10,0
2023-10-12 23:53:00,"0,9984314441406339",-10,0
2023-10-12 23:54:00,"0,9984314441406339",-10,0
2023-10-12 23:55:00,"0,9984314441406339",-10,0
2023-10-12 23:56:00,"0,9984314441406339",-10,0
2023-10-12 23:57:00,"0,9984314441406339",-10,0
2023-10-12 23:58:00,"0,9985414803777158",-10,0
2023-10-12 23:59:00,"0,998761678146268",-10,0
2023-10-13 00:00:00,"0,996781680048621",-10,0
2023-10-13 00:01:00,"0,9957905575457732",-10,0
2023-10-13 00:02:00,"0,9939208926278832",-10,0
2023-10-13 00:03:00,"0,9942493981147426",-10,0
2023-10-13 00:04:00,"0,9941393197648145",-10,0
2023-10-13 00:05:00,"0,9941393136704765",-10,0
2023-10-13 00:06:00,"0,994139313670476",-10,0
2023-10-13 00:07:00,"0,994139313670476",-10,0
2023-10-13 00:08:00,"0,994139313670476",-10,0
2023-10-13 00:09:00,"0,9943043726321168",-10,0
2023-10-13 00:10:00,"0,9944694775034864",-10,0
2023-10-13 00:11:00,"0,9947996687233704",-10,0
2023-10-13 00:12:00,"0,9961211505971219",-10,0
2023-10-13 00:13:00,"0,9967808522048687",-10,0
2023-10-13 00:14:00,"0,996670550223668",-10,0
2023-10-13 00:15:00,"0,996395447057577",-10,0
2023-10-13 00:16:00,"0,9982681554412358",-10,0
2023-10-13 00:17:00,"0,9987617758542846",-10,0
2023-10-13 00:18:00,"0,9982114758738247",-10,0
2023-10-13 00:19:00,"0,9989270150118432",-10,0
2023-10-13 00:20:00,"0,9990927377032547",-10,0
2023-10-13 00:21:00,"0,9976071451599094",-10,0
2023-10-13 00:22:00,"0,9971109075090456",-10,0
2023-10-13 00:23:00,"0,9972208202578744",-10,0
2023-10-13 00:24:00,"0,9984321789879996",-10,0
2023-10-13 00:25:00,"0,9984314441409043",-10,0
2023-10-13 00:26:00,"0,9984314441406339",-10,0
2023-10-13 00:27:00,"0,9977163254767104",-10,0
2023-10-13 00:28:00,"0,997441031748964",-10,0
