,mean voltage p.u.,P,Q
2023-10-19 22:00:00,"1,0027236938200814",-11,0
2023-10-19 22:01:00,"1,002393538459178",-11,0
2023-10-19 22:02:00,"1,0022283928282312",-11,0
2023-10-19 22:03:00,"1,0023934976852968",-11,0
2023-10-19 22:04:00,"1,0027236289561048",-11,0
2023-10-19 22:05:00,"1,0027235746107934",-11,0
2023-10-19 22:06:00,"1,002723574610792",-11,0
2023-10-19 22:07:00,"1,0030538387139882",-11,0
2023-10-19 22:08:00,"1,003714421184125",-11,0
2023-10-19 22:09:00,"1,0021744876558838",-11,0
2023-10-19 22:10:00,"1,0016231861700944",-11,0
2023-10-19 22:11:00,"1,0011830105155166",-11,0
2023-10-19 22:12:00,"1,0007427706800167",-11,0
2023-10-19 22:13:00,"1,0007426738463858",-11,0
2023-10-19 22:14:00,"1,0007426738463807",-11,0
2023-10-19 22:15:00,"1,0007426738463807",-11,0
2023-10-19 22:16:00,"0,9998625813684701",-10,0
2023-10-19 22:17:00,"0,9981028452929256",-10,0
2023-10-19 22:18:00,"0,9975511764754847",-10,0
2023-10-19 22:19:00,"0,9974409402453861",-10,0
2023-10-19 22:20:00,"0,9974409341537837",-10,0
2023-10-19 22:21:00,"0,9974409341537837",-10,0
2023-10-19 22:22:00,"0,9972208738052792",-10,0
2023-10-19 22:23:00,"0,9964504241669336",-10,0
2023-10-19 22:24:00,"0,9961202740395315",-10,0
2023-10-19 22:25:00,"0,9958450793946112",-10,0
2023-10-19 22:26:00,"0,9957900643074854",-10,0
2023-10-19 22:27:00,"0,9957900643074854",-10,0
2023-10-19 22:28:00,"0,9951298236573263",-10,0
2023-10-19 22:29:00,"0,9942493438447283",-10,0
2023-10-19 22:30:00,"0,9931488036836259",-10,0
2023-10-19 22:31:00,"0,994469463797878",-10,0
2023-10-19 22:32:00,"0,994469463797878",-10,0
2023-10-19 22:33:00,"0,9950197338784291",-10,0
2023-10-19 22:34:00,"0,9947996139252798",-10,0
2023-10-19 22:35:00,"0,9947996139252798",-10,0
2023-10-19 22:36:00,"0,9949096440995322",-10,0
2023-10-19 22:37:00,"0,9954599737847283",-10,0
2023-10-19 22:38:00,"0,9959002136910272",-10,0
2023-10-19 22:39:00,"0,9961202740395315",-10,0
2023-10-19 22:40:00,"0,9961202740395315",-10,0
2023-10-19 22:41:00,"0,9974409937584287",-10,0
2023-10-19 22:42:00,"0,9984315037452789",-10,0
2023-10-19 22:43:00,"0,9987616538726803",-10,0
2023-10-19 22:44:00,"0,9975510239326809",-10,0
2023-10-19 22:45:00,"0,9967806338989802",-10,0
2023-10-19 22:46:00,"0,9967806338989802",-10,0
2023-10-19 22:47:00,"0,9967806338989802",-10,0
2023-10-19 22:48:00,"0,9972208142006342",-10,0
2023-10-19 22:49:00,"0,9974409341537837",-10,0
2023-10-19 22:50:00,"0,9974409341537837",-10,0
2023-10-19 22:51:00,"0,9976610541069331",-10,0
2023-10-19 22:52:00,"0,9977710842811855",-10,0
2023-10-19 22:53:00,"0,9992018937789795",-10,0
2023-10-19 22:54:00,"0,9992569088661057",-10,0
2023-10-19 22:55:00,"0,9990918040000824",-10,0
2023-10-19 22:56:00,"0,9990918040000824",-10,0
2023-10-19 22:57:00,"1,0000823735915774",-11,0
2023-10-19 22:58:00,"1,0017331838332313",-11,0
2023-10-19 22:59:00,"1,002503514262287",-11,0
2023-10-19 23:00:00,"1,0031088590346091",-11,0
2023-10-19 23:01:00,"1,0023934840880349",-11,0
2023-10-19 23:02:00,"1,0014029741011847",-11,0
2023-10-19 23:03:00,"1,0017881393157126",-11,0
2023-10-19 23:04:00,"1,0017331838332313",-11,0
2023-10-19 23:05:00,"1,0017331838332313",-11,0
2023-10-19 23:06:00,"1,0019532441817358",-11,0
2023-10-19 23:07:00,"1,000907778712404",-11,0
2023-10-19 23:08:00,"1,0001924037658296",-11,0
2023-10-19 23:09:00,"0,9997521638595309",-10,0
2023-10-19 23:10:00,"1,0000823735915774",-11,0
2023-10-19 23:11:00,"1,0010728835784275",-11,0
2023-10-19 23:12:00,"1,0010728835784275",-11,0
2023-10-19 23:13:00,"1,0010728835784275",-11,0
2023-10-19 23:14:00,"1,001623153658979",-11,0
2023-10-19 23:15:00,"1,0014580487929554",-11,0
2023-10-19 23:16:00,"1,0002474784576003",-11,0
2023-10-19 23:17:00,"1,0017331838332313",-11,0
2023-10-19 23:18:00,"1,003769159289413",-11,0
2023-10-19 23:19:00,"1,005034804316539",-11,0
2023-10-19 23:20:00,"1,0050746935006705",-11,0
2023-10-19 23:21:00,"1,0033854160908635",-11,0
2023-10-19 23:22:00,"1,001295125760396",-11,0
2023-10-19 23:23:00,"1,0017332796565657",-11,0
2023-10-19 23:24:00,"1,003936682130791",-11,0
2023-10-19 23:25:00,"1,004704888273102",-11,0
2023-10-19 23:26:00,"1,0039894745294793",-11,0
2023-10-19 23:27:00,"1,0033841766497973",-11,0
2023-10-19 23:28:00,"1,0044301233432975",-11,0
2023-10-19 23:29:00,"1,004704751327461",-11,0
2023-10-19 23:30:00,"1,0047047137937826",-11,0
2023-10-19 23:31:00,"1,004704713793782",-11,0
2023-10-19 23:32:00,"1,0045396224937428",-11,0
2023-10-19 23:33:00,"1,004704727359766",-11,0
2023-10-19 23:34:00,"1,004704713793782",-11,0
2023-10-19 23:35:00,"1,0050348585413034",-11,0
2023-10-19 23:36:00,"1,0050348043165405",-11,0
2023-10-19 23:37:00,"1,0052550079924218",-11,0
