,mean voltage p.u.,P,Q
2023-10-15 22:00:00,"1,003934383364726",-11,0
2023-10-15 22:01:00,"1,0043746005352856",-11,0
2023-10-15 22:02:00,"1,0027799172858112",-11,0
2023-10-15 22:03:00,"1,0006349426730825",-11,0
2023-10-15 22:04:00,"0,9996426262073984",-10,0
2023-10-15 22:05:00,"0,9960716600182185",-10,0
2023-10-15 22:06:00,"0,9934823281292353",-10,0
2023-10-15 22:07:00,"0,9928188156681848",-10,0
2023-10-15 22:08:00,"0,9922684764876054",-10,0
2023-10-15 22:09:00,"1,006511377713024",-11,0
2023-10-15 22:10:00,"1,0136444015593764",-11,0
2023-10-15 22:11:00,"1,013619303986146",-11,0
2023-10-15 22:12:00,"1,013619303675434",-11,0
2023-10-15 22:13:00,"1,0127392062769716",-11,0
2023-10-15 22:14:00,"1,0122986798094618",-11,0
2023-10-15 22:15:00,"1,0122985839565417",-11,0
2023-10-15 22:16:00,"1,0079058764109567",-11,0
2023-10-15 22:17:00,"1,005039012385047",-11,0
2023-10-15 22:18:00,"1,005034923534146",-11,0
2023-10-15 22:19:00,"1,005255007966309",-11,0
2023-10-15 22:20:00,"1,0049247741422869",-11,0
2023-10-15 22:21:00,"1,0022283792220117",-11,0
2023-10-15 22:22:00,"1,0027236938200816",-11,0
2023-10-15 22:23:00,"1,001402974101185",-11,0
2023-10-15 22:24:00,"1,0048696994505155",-11,0
2023-10-15 22:25:00,"1,005034804316539",-11,0
2023-10-15 22:26:00,"1,005034804316539",-11,0
2023-10-15 22:27:00,"1,005034804316539",-11,0
2023-10-15 22:28:00,"1,0052549838743334",-11,0
2023-10-15 22:29:00,"1,0070158242902396",-11,0
2023-10-15 22:30:00,"1,006960868807758",-11,0
2023-10-15 22:31:00,"1,0082265138348838",-11,0
2023-10-15 22:32:00,"1,007290959330515",-11,0
2023-10-15 22:33:00,"1,0099873542507902",-11,0
2023-10-15 22:34:00,"1,0134541988094106",-11,0
2023-10-15 22:35:00,"1,0122984647472475",-11,0
2023-10-15 22:36:00,"1,0119683742244905",-11,0
2023-10-15 22:37:00,"1,0119683742244905",-11,0
2023-10-15 22:38:00,"1,0119683742244905",-11,0
2023-10-15 22:39:00,"1,0127937793453174",-11,0
2023-10-15 22:40:00,"1,015600204439845",-11,0
2023-10-15 22:41:00,"1,013509154291892",-11,0
2023-10-15 22:42:00,"1,0118583440502382",-11,0
2023-10-15 22:43:00,"1,0128488540370884",-11,0
2023-10-15 22:44:00,"1,0129588842113408",-11,0
2023-10-15 22:45:00,"1,011803269358467",-11,0
2023-10-15 22:46:00,"1,011638164492444",-11,0
2023-10-15 22:47:00,"1,011638164492444",-11,0
2023-10-15 22:48:00,"1,0116932391842153",-11,0
2023-10-15 22:49:00,"1,0125737189968127",-11,0
2023-10-15 22:50:00,"1,014939904185041",-11,0
2023-10-15 22:51:00,"1,0142796039302375",-11,0
2023-10-15 22:52:00,"1,013509154291892",-11,0
2023-10-15 22:53:00,"1,0132890939433872",-11,0
2023-10-15 22:54:00,"1,0132890939433872",-11,0
2023-10-15 22:55:00,"1,0120234489162614",-11,0
2023-10-15 22:56:00,"1,0105926990231122",-11,0
2023-10-15 22:57:00,"1,0114181041439392",-11,0
2023-10-15 22:58:00,"1,011803269358467",-11,0
2023-10-15 22:59:00,"1,0106476545055938",-11,0
2023-10-15 23:00:00,"1,0099873542507902",-11,0
2023-10-15 23:01:00,"1,0113631486614578",-11,0
2023-10-15 23:02:00,"1,012298583956537",-11,0
2023-10-15 23:03:00,"1,012133479090514",-11,0
2023-10-15 23:04:00,"1,009657263728033",-11,0
2023-10-15 23:05:00,"1,0098222493847666",-11,0
2023-10-15 23:06:00,"1,0093270539959864",-11,0
2023-10-15 23:07:00,"1,0088868140896874",-11,0
2023-10-15 23:08:00,"1,0117483138759855",-11,0
2023-10-15 23:09:00,"1,014004468889962",-11,0
2023-10-15 23:10:00,"1,014609813662284",-11,0
2023-10-15 23:11:00,"1,0156552791316156",-11,0
2023-10-15 23:12:00,"1,0113630294521685",-11,0
2023-10-15 23:13:00,"1,004704713793782",-11,0
2023-10-15 23:14:00,"1,0052549838743334",-11,0
2023-10-15 23:15:00,"1,0057501792631136",-11,0
2023-10-15 23:16:00,"1,0079513787946082",-11,0
2023-10-15 23:17:00,"1,0076762437543323",-11,0
2023-10-15 23:18:00,"1,005915284129137",-11,0
2023-10-15 23:19:00,"1,0065206289014592",-11,0
2023-10-15 23:20:00,"1,006686632526372",-11,0
2023-10-15 23:21:00,"1,0066856145587078",-11,0
2023-10-15 23:22:00,"1,006465578262161",-11,0
2023-10-15 23:23:00,"1,0061904567824855",-11,0
2023-10-15 23:24:00,"1,007842583553442",-11,0
2023-10-15 23:25:00,"1,0061369094773185",-11,0
2023-10-15 23:26:00,"1,0053653101427589",-11,0
2023-10-15 23:27:00,"1,0025075873467568",-11,0
2023-10-15 23:28:00,"1,0027237171126773",-11,0
2023-10-15 23:29:00,"1,0029437783109822",-11,0
2023-10-15 23:30:00,"1,002393635055486",-11,0
2023-10-15 23:31:00,"1,0029439051227764",-11,0
2023-10-15 23:32:00,"1,004871667787625",-11,0
2023-10-15 23:33:00,"1,0027808290467626",-11,0
2023-10-15 23:34:00,"1,0006349446237772",-11,0
2023-10-15 23:35:00,"1,0027257544143486",-11,0
2023-10-15 23:36:00,"1,003604439080363",-11,0
2023-10-15 23:37:00,"1,0037142098094438",-11,0
2023-10-15 23:38:00,"1,0044848298379212",-11,0
2023-10-15 23:39:00,"1,0056959530367906",-11,0
2023-10-15 23:40:00,"1,004245779544828",-11,0
2023-10-15 23:41:00,"1,004044433727397",-11,0
2023-10-15 23:42:00,"1,0040444135389786",-11,0
2023-10-15 23:43:00,"1,0045397310431103",-11,0
2023-10-15 23:44:00,"1,0050350455795354",-11,0
2023-10-15 23:45:00,"1,0043747211263536",-11,0
2023-10-15 23:46:00,"1,0040444678529212",-11,0
2023-10-15 23:47:00,"1,00404441353898",-11,0
2023-10-15 23:48:00,"1,004044413538978",-11,0
2023-10-15 23:49:00,"1,0041544497421668",-11,0
2023-10-15 23:50:00,"1,0047048645626833",-11,0
2023-10-15 23:51:00,"1,0048698322010228",-11,0
2023-10-15 23:52:00,"1,005695562765463",-11,0
2023-10-15 23:53:00,"1,0055850804663622",-11,0
2023-10-15 23:54:00,"1,0060254106681004",-11,0
2023-10-15 23:55:00,"1,0066858311875009",-11,0
2023-10-15 23:56:00,"1,0073462505087856",-11,0
2023-10-15 23:57:00,"1,0070158784828698",-11,0
2023-10-15 23:58:00,"1,0047073659278414",-11,0
2023-10-15 23:59:00,"1,0043745592006874",-11,0
2023-10-16 00:00:00,"1,0000286652523045",-11,0
2023-10-16 00:01:00,"0,9945943402803777",-10,0
2023-10-16 00:02:00,"0,9994337302832959",-10,0
2023-10-16 00:03:00,"1,002729108816522",-11,0
2023-10-16 00:04:00,"1,0028888114018295",-11,0
2023-10-16 00:05:00,"1,0027237074127229",-11,0
2023-10-16 00:06:00,"1,002723693820082",-11,0
2023-10-16 00:07:00,"1,002778650808514",-11,0
2023-10-16 00:08:00,"1,0027236953260323",-11,0
2023-10-16 00:09:00,"1,0027236938200816",-11,0
2023-10-16 00:10:00,"1,0028337300312111",-11,0
2023-10-16 00:11:00,"1,0038247231440662",-11,0
2023-10-16 00:12:00,"1,0031641512158709",-11,0
2023-10-16 00:13:00,"1,001184870213086",-11,0
2023-10-16 00:14:00,"1,0020636596963295",-11,0
2023-10-16 00:15:00,"1,0060332651766768",-11,0
2023-10-16 00:16:00,"1,005970360787647",-11,0
2023-10-16 00:17:00,"1,00800839457042",-11,0
2023-10-16 00:18:00,"1,0080063342791952",-11,0
2023-10-16 00:19:00,"1,0087770783543797",-11,0
2023-10-16 00:20:00,"1,0101590114865984",-11,0
2023-10-16 00:21:00,"1,0097123180183931",-11,0
2023-10-16 00:22:00,"1,0099873917094444",-11,0
2023-10-16 00:23:00,"1,0098773300740802",-11,0
2023-10-16 00:24:00,"1,0093272039170478",-11,0
2023-10-16 00:25:00,"1,0086669698229616",-11,0
2023-10-16 00:26:00,"1,0113115317170511",-11,0
2023-10-16 00:27:00,"1,0152778614669498",-11,0
2023-10-16 00:28:00,"1,0123578697920983",-11,0
2023-10-16 00:29:00,"1,0053891656025502",-11,0
2023-10-16 00:30:00,"1,0049248813940037",-11,0
2023-10-16 00:31:00,"1,00387985260531",-11,0
2023-10-16 00:32:00,"1,0031641890058545",-11,0
2023-10-16 00:33:00,"1,003714354587973",-11,0
2023-10-16 00:34:00,"1,0040444678068636",-11,0
2023-10-16 00:35:00,"1,004484749936719",-11,0
2023-10-16 00:36:00,"1,0040445100542037",-11,0
2023-10-16 00:37:00,"1,0083457176838515",-11,0
2023-10-16 00:38:00,"1,0075114842667612",-11,0
2023-10-16 00:39:00,"1,0060264104205028",-11,0
2023-10-16 00:40:00,"1,0055301325872084",-11,0
2023-10-16 00:41:00,"1,004210266567377",-11,0
2023-10-16 00:42:00,"1,0040443080453345",-11,0
2023-10-16 00:43:00,"1,0047049309832772",-11,0
