,mean voltage p.u.,P,Q
2023-08-18 22:00:00,"0,9956800341332329",-10,0
2023-08-18 22:01:00,"0,9939756105344274",-10,0
2023-08-18 22:02:00,"0,9918303444000973",-10,0
2023-08-18 22:03:00,"0,9916629932196412",-10,0
2023-08-18 22:04:00,"0,9917730749868614",-10,0
2023-08-18 22:05:00,"0,9994515095237597",-10,0
2023-08-18 22:06:00,"1,0003579192742786",-11,0
2023-08-18 22:07:00,"1,003554188932935",-11,0
2023-08-18 22:08:00,"1,0023941553202174",-11,0
2023-08-18 22:09:00,"1,00184336541316",-11,0
2023-08-18 22:10:00,"1,0014030708950123",-11,0
2023-08-18 22:11:00,"1,0014029741011894",-11,0
2023-08-18 22:12:00,"1,0011828187489495",-11,0
2023-08-18 22:13:00,"1,0007427705957117",-11,0
2023-08-18 22:14:00,"1,0004125186250314",-11,0
2023-08-18 22:15:00,"0,9980490773168745",-10,0
2023-08-18 22:16:00,"1,0011878338167473",-11,0
2023-08-18 22:17:00,"1,0000829838878018",-11,0
2023-08-18 22:18:00,"1,000082373591764",-11,0
2023-08-18 22:19:00,"1,0009632409945983",-11,0
2023-08-18 22:20:00,"1,0016231536589792",-11,0
2023-08-18 22:21:00,"1,0017331838332313",-11,0
2023-08-18 22:22:00,"1,0026136636458294",-11,0
2023-08-18 22:23:00,"1,0043745040617351",-11,0
2023-08-18 22:24:00,"1,0044845342359878",-11,0
2023-08-18 22:25:00,"1,005034804316539",-11,0
2023-08-18 22:26:00,"1,0052549838743334",-11,0
2023-08-18 22:27:00,"1,0056952237806325",-11,0
2023-08-18 22:28:00,"1,0056952237806325",-11,0
2023-08-18 22:29:00,"1,005915284129137",-11,0
2023-08-18 22:30:00,"1,0060253143033893",-11,0
2023-08-18 22:31:00,"1,0060253143033893",-11,0
2023-08-18 22:32:00,"1,0061353444776415",-11,0
2023-08-18 22:33:00,"1,0070158242902396",-11,0
2023-08-18 22:34:00,"1,007346034022286",-11,0
2023-08-18 22:35:00,"1,0074560641965384",-11,0
2023-08-18 22:36:00,"1,0080063342770895",-11,0
2023-08-18 22:37:00,"1,007786273928585",-11,0
2023-08-18 22:38:00,"1,0056952237806325",-11,0
2023-08-18 22:39:00,"1,0056952237806325",-11,0
2023-08-18 22:40:00,"1,0056952237806325",-11,0
2023-08-18 22:41:00,"1,0056952237806325",-11,0
2023-08-18 22:42:00,"1,005034923525829",-11,0
2023-08-18 22:43:00,"1,0044845342359878",-11,0
2023-08-18 22:44:00,"1,0043745040617351",-11,0
2023-08-18 22:45:00,"1,0048147439680344",-11,0
2023-08-18 22:46:00,"1,005034923525829",-11,0
2023-08-18 22:47:00,"1,005034923525829",-11,0
2023-08-18 22:48:00,"1,005034923525829",-11,0
2023-08-18 22:49:00,"1,0048698186598055",-11,0
2023-08-18 22:50:00,"1,004704713793782",-11,0
2023-08-18 22:51:00,"1,004704713793782",-11,0
2023-08-18 22:52:00,"1,004704713793782",-11,0
2023-08-18 22:53:00,"1,0063005685529545",-11,0
2023-08-18 22:54:00,"1,0070159434995287",-11,0
2023-08-18 22:55:00,"1,0070159434995287",-11,0
2023-08-18 22:56:00,"1,0062454938611836",-11,0
2023-08-18 22:57:00,"1,0056952237806325",-11,0
2023-08-18 22:58:00,"1,0070159434995287",-11,0
2023-08-18 22:59:00,"1,0072360038480337",-11,0
2023-08-18 23:00:00,"1,005915284129137",-11,0
2023-08-18 23:01:00,"1,0056952237806325",-11,0
2023-08-18 23:02:00,"1,0051449537000807",-11,0
2023-08-18 23:03:00,"1,005034804316539",-11,0
2023-08-18 23:04:00,"1,0072360038480337",-11,0
2023-08-18 23:05:00,"1,0048147439680344",-11,0
2023-08-18 23:06:00,"1,0036041736326795",-11,0
2023-08-18 23:07:00,"1,003383994074885",-11,0
2023-08-18 23:08:00,"1,003383994074885",-11,0
2023-08-18 23:09:00,"1,003383994074885",-11,0
2023-08-18 23:10:00,"1,003053903552128",-11,0
2023-08-18 23:11:00,"1,0027236938200816",-11,0
2023-08-18 23:12:00,"1,003383994074885",-11,0
2023-08-18 23:13:00,"1,003383994074885",-11,0
2023-08-18 23:14:00,"1,003824233981184",-11,0
2023-08-18 23:15:00,"1,004154324503941",-11,0
2023-08-18 23:16:00,"1,005365014048586",-11,0
2023-08-18 23:17:00,"1,005365014048586",-11,0
2023-08-18 23:18:00,"1,0055850743970904",-11,0
2023-08-18 23:19:00,"1,0066857337674824",-11,0
2023-08-18 23:20:00,"1,0065760890204858",-11,0
2023-08-18 23:21:00,"1,0063555482009776",-11,0
2023-08-18 23:22:00,"1,0063555240354365",-11,0
2023-08-18 23:23:00,"1,0063555240354358",-11,0
2023-08-18 23:24:00,"1,0063555240354358",-11,0
2023-08-18 23:25:00,"1,0063555240354358",-11,0
2023-08-18 23:26:00,"1,006685787942406",-11,0
2023-08-18 23:27:00,"1,0085584621432335",-11,0
2023-08-18 23:28:00,"1,0098781863948194",-11,0
2023-08-18 23:29:00,"1,009657287892742",-11,0
2023-08-18 23:30:00,"1,0098223820895451",-11,0
2023-08-18 23:31:00,"1,0114193649245085",-11,0
2023-08-18 23:32:00,"1,0119685232285642",-11,0
2023-08-18 23:33:00,"1,0118583500481777",-11,0
2023-08-18 23:34:00,"1,0113082235972324",-11,0
2023-08-18 23:35:00,"1,0109779181961192",-11,0
2023-08-18 23:36:00,"1,0100977678853078",-11,0
2023-08-18 23:37:00,"1,0097673479629203",-11,0
2023-08-18 23:38:00,"1,0093271499877898",-11,0
2023-08-18 23:39:00,"1,0087769339672858",-11,0
2023-08-18 23:40:00,"1,0086677699108038",-11,0
2023-08-18 23:41:00,"1,0095474976454435",-11,0
2023-08-18 23:42:00,"1,0099874500728458",-11,0
2023-08-18 23:43:00,"1,0099324002686472",-11,0
2023-08-18 23:44:00,"1,0093272354161045",-11,0
2023-08-18 23:45:00,"1,0089968983387283",-11,0
2023-08-18 23:46:00,"1,0089968442639412",-11,0
2023-08-18 23:47:00,"1,00899684426394",-11,0
2023-08-18 23:48:00,"1,009547264393108",-11,0
2023-08-18 23:49:00,"1,0096571504984744",-11,0
2023-08-18 23:50:00,"1,0094371081532258",-11,0
2023-08-18 23:51:00,"1,0089969402740284",-11,0
2023-08-18 23:52:00,"1,0089968442639443",-11,0
2023-08-18 23:53:00,"1,009437180211756",-11,0
2023-08-18 23:54:00,"1,0102628266746545",-11,0
2023-08-18 23:55:00,"1,0103175654657048",-11,0
2023-08-18 23:56:00,"1,0102074206039482",-11,0
2023-08-18 23:57:00,"1,0096572943908213",-11,0
2023-08-18 23:58:00,"1,0096571445187548",-11,0
2023-08-18 23:59:00,"1,0094921723419652",-11,0
2023-08-19 00:00:00,"1,0094960707192793",-11,0
2023-08-19 00:01:00,"1,0096572765974177",-11,0
2023-08-19 00:02:00,"1,0096572637280332",-11,0
2023-08-19 00:03:00,"1,009657263728033",-11,0
2023-08-19 00:04:00,"1,009657263728033",-11,0
2023-08-19 00:05:00,"1,009657263728033",-11,0
2023-08-19 00:06:00,"1,009657263728033",-11,0
2023-08-19 00:07:00,"1,0101525805533056",-11,0
2023-08-19 00:08:00,"1,0113087348426388",-11,0
2023-08-19 00:09:00,"1,0119685893537085",-11,0
2023-08-19 00:10:00,"1,0119683742245134",-11,0
2023-08-19 00:11:00,"1,0120785296027293",-11,0
2023-08-19 00:12:00,"1,012298607879542",-11,0
2023-08-19 00:13:00,"1,012298583956537",-11,0
2023-08-19 00:14:00,"1,0122985839565373",-11,0
2023-08-19 00:15:00,"1,0122985839565373",-11,0
2023-08-19 00:16:00,"1,0122985839565373",-11,0
2023-08-19 00:17:00,"1,0125737563866164",-11,0
2023-08-19 00:18:00,"1,0126287951843287",-11,0
2023-08-19 00:19:00,"1,0126287936885838",-11,0
2023-08-19 00:20:00,"1,0103739007343495",-11,0
2023-08-19 00:21:00,"1,0073505709451114",-11,0
2023-08-19 00:22:00,"1,0060261860481508",-11,0
2023-08-19 00:23:00,"1,005695278220578",-11,0
2023-08-19 00:24:00,"1,006686102164172",-11,0
2023-08-19 00:25:00,"1,0066856145583112",-11,0
2023-08-19 00:26:00,"1,0066856145581928",-11,0
2023-08-19 00:27:00,"1,0066856145581928",-11,0
2023-08-19 00:28:00,"1,0066856145581928",-11,0
2023-08-19 00:29:00,"1,0067406907565026",-11,0
2023-08-19 00:30:00,"1,0070158618860487",-11,0
2023-08-19 00:31:00,"1,0067957879945362",-11,0
2023-08-19 00:32:00,"1,0063556202974364",-11,0
2023-08-19 00:33:00,"1,0056954404652467",-11,0
2023-08-19 00:34:00,"1,0056952237806556",-11,0
2023-08-19 00:35:00,"1,0063557407991317",-11,0
2023-08-19 00:36:00,"1,0070160407694613",-11,0
2023-08-19 00:37:00,"1,0070158242902627",-11,0
2023-08-19 00:38:00,"1,006355740514867",-11,0
2023-08-19 00:39:00,"1,0063555240354591",-11,0
2023-08-19 00:40:00,"1,0063603970611352",-11,0
2023-08-19 00:41:00,"1,0068508388724875",-11,0
2023-08-19 00:42:00,"1,0073461557971444",-11,0
2023-08-19 00:43:00,"1,0084471752283315",-11,0
2023-08-19 00:44:00,"1,008446574183568",-11,0
2023-08-19 00:45:00,"1,0081165376841943",-11,0
2023-08-19 00:46:00,"1,008336568015678",-11,0
2023-08-19 00:47:00,"1,0083365440091367",-11,0
2023-08-19 00:48:00,"1,0083365440091363",-11,0
2023-08-19 00:49:00,"1,0081714526602352",-11,0
2023-08-19 00:50:00,"1,0080063477986394",-11,0
2023-08-19 00:51:00,"1,0085017705624666",-11,0
2023-08-19 00:52:00,"1,0096579256824765",-11,0
2023-08-19 00:53:00,"1,009437227505687",-11,0
2023-08-19 00:54:00,"1,0083371440980406",-11,0
2023-08-19 00:55:00,"1,0083365440093153",-11,0
2023-08-19 00:56:00,"1,0083365440091363",-11,0
2023-08-19 00:57:00,"1,0083365440091363",-11,0
2023-08-19 00:58:00,"1,0083365440091363",-11,0
2023-08-19 00:59:00,"1,0083365440091363",-11,0
2023-08-19 01:00:00,"1,008363700649418",-11,0
2023-08-19 01:01:00,"1,0083365443748191",-11,0
2023-08-19 01:02:00,"1,008336544009136",-11,0
2023-08-19 01:03:00,"1,008336544009136",-11,0
2023-08-19 01:04:00,"1,0083365440091363",-11,0
2023-08-19 01:05:00,"1,007676340819",-11,0
2023-08-19 01:06:00,"1,0063563896690253",-11,0
2023-08-19 01:07:00,"1,0070160403439277",-11,0
2023-08-19 01:08:00,"1,007236027871456",-11,0
2023-08-19 01:09:00,"1,0089433333095352",-11,0
2023-08-19 01:10:00,"1,0089968456829603",-11,0
2023-08-19 01:11:00,"1,008006820459405",-11,0
2023-08-19 01:12:00,"1,0070163114265305",-11,0
2023-08-19 01:13:00,"1,00685085222874",-11,0
2023-08-19 01:14:00,"1,0077867084585628",-11,0
2023-08-19 01:15:00,"1,0097140586829076",-11,0
2023-08-19 01:16:00,"1,0103177443401583",-11,0
2023-08-19 01:17:00,"1,0086131195164294",-11,0
2023-08-19 01:18:00,"1,0087767971940824",-11,0
2023-08-19 01:19:00,"1,009217119878406",-11,0
2023-08-19 01:20:00,"1,0096616236624736",-11,0
2023-08-19 01:21:00,"1,0096572637374468",-11,0
2023-08-19 01:22:00,"1,0098773480582166",-11,0
2023-08-19 01:23:00,"1,0103176599301618",-11,0
2023-08-19 01:24:00,"1,010757899763291",-11,0
2023-08-19 01:25:00,"1,0113082237046815",-11,0
2023-08-19 01:26:00,"1,0115281582281517",-11,0
2023-08-19 01:27:00,"1,0116381704741748",-11,0
2023-08-19 01:28:00,"1,0116381644924437",-11,0
2023-08-19 01:29:00,"1,011638164492444",-11,0
2023-08-19 01:30:00,"1,011638164492444",-11,0
2023-08-19 01:31:00,"1,011638164492444",-11,0
2023-08-19 01:32:00,"1,011638164492444",-11,0
2023-08-19 01:33:00,"1,011638164492444",-11,0
2023-08-19 01:34:00,"1,0114181280786616",-11,0
2023-08-19 01:35:00,"1,0113080799572736",-11,0
2023-08-19 01:36:00,"1,0113080739696867",-11,0
2023-08-19 01:37:00,"1,009274028967218",-11,0
2023-08-19 01:38:00,"1,008996882326625",-11,0
2023-08-19 01:39:00,"1,0089968442639403",-11,0
2023-08-19 01:40:00,"1,009000310520339",-11,0
2023-08-19 01:41:00,"1,0086668088750237",-11,0
2023-08-19 01:42:00,"1,0086667537411844",-11,0
2023-08-19 01:43:00,"1,0086667537411833",-11,0
2023-08-19 01:44:00,"1,009217173919455",-11,0
2023-08-19 01:45:00,"1,0093270599776678",-11,0
2023-08-19 01:46:00,"1,0084469582289892",-11,0
2023-08-19 01:47:00,"1,0085567295406852",-11,0
2023-08-19 01:48:00,"1,0093273481786285",-11,0
2023-08-19 01:49:00,"1,0093270539960295",-11,0
2023-08-19 01:50:00,"1,0092719808068116",-11,0
2023-08-19 01:51:00,"1,0087218592321954",-11,0
2023-08-19 01:52:00,"1,0086667552463626",-11,0
2023-08-19 01:53:00,"1,0086667537411829",-11,0
2023-08-19 01:54:00,"1,0091069704591165",-11,0
2023-08-19 01:55:00,"1,0096572944986293",-11,0
2023-08-19 01:56:00,"1,0096571445187543",-11,0
2023-08-19 01:57:00,"1,0096571445187434",-11,0
2023-08-19 01:58:00,"1,0098773480842111",-11,0
2023-08-19 01:59:00,"1,0109784638826402",-11,0
2023-08-19 02:00:00,"1,010981323684088",-11,0
2023-08-19 02:01:00,"1,0109778642435594",-11,0
2023-08-19 02:02:00,"1,0107578278394918",-11,0
2023-08-19 02:03:00,"1,0100426821167476",-11,0
2023-08-19 02:04:00,"1,009327307511811",-11,0
2023-08-19 02:05:00,"1,0093270539960184",-11,0
2023-08-19 02:06:00,"1,009657317743462",-11,0
2023-08-19 02:07:00,"1,0096572637280343",-11,0
2023-08-19 02:08:00,"1,009437108177909",-11,0
2023-08-19 02:09:00,"1,0083371439680042",-11,0
2023-08-19 02:10:00,"1,0081165078048238",-11,0
2023-08-19 02:11:00,"1,0076763398902615",-11,0
2023-08-19 02:12:00,"1,0076762437543372",-11,0
