,mean voltage p.u.,P,Q
2023-09-11 22:00:00,"1,0046496391020108",-11,0
2023-09-11 22:01:00,"1,0040444767028658",-11,0
2023-09-11 22:02:00,"1,0032742595498754",-11,0
2023-09-11 22:03:00,"1,0020641242709738",-11,0
2023-09-11 22:04:00,"1,0017332384812176",-11,0
2023-09-11 22:05:00,"1,0015130284850289",-11,0
2023-09-11 22:06:00,"1,001072980295861",-11,0
2023-09-11 22:07:00,"1,0005226456436078",-11,0
2023-09-11 22:08:00,"1,002174785561941",-11,0
2023-09-11 22:09:00,"1,0017332811276802",-11,0
2023-09-11 22:10:00,"1,0017331838332362",-11,0
2023-09-11 22:11:00,"1,001623159701825",-11,0
2023-09-11 22:12:00,"1,001402998302751",-11,0
2023-09-11 22:13:00,"1,001402974101185",-11,0
2023-09-11 22:14:00,"1,0016230586290449",-11,0
2023-09-11 22:15:00,"1,0030549255519594",-11,0
2023-09-11 22:16:00,"1,0030539035526485",-11,0
2023-09-11 22:17:00,"1,0030539035521282",-11,0
2023-09-11 22:18:00,"1,003053903552128",-11,0
2023-09-11 22:19:00,"1,003053903552128",-11,0
2023-09-11 22:20:00,"1,0032190084181514",-11,0
2023-09-11 22:21:00,"1,0033839940748848",-11,0
2023-09-11 22:22:00,"1,0033839940748848",-11,0
2023-09-11 22:23:00,"1,0033839940748848",-11,0
2023-09-11 22:24:00,"1,0039342641554363",-11,0
2023-09-11 22:25:00,"1,0040442943296886",-11,0
2023-09-11 22:26:00,"1,0047047137937817",-11,0
2023-09-11 22:27:00,"1,0049797296247678",-11,0
2023-09-11 22:28:00,"1,005034804316539",-11,0
2023-09-11 22:29:00,"1,005034804316539",-11,0
2023-09-11 22:30:00,"1,0050898790083096",-11,0
2023-09-11 22:31:00,"1,0058052539548843",-11,0
2023-09-11 22:32:00,"1,006025314303389",-11,0
2023-09-11 22:33:00,"1,006025314303389",-11,0
2023-09-11 22:34:00,"1,0058052539548843",-11,0
2023-09-11 22:35:00,"1,0056952237806318",-11,0
2023-09-11 22:36:00,"1,0059703588209077",-11,0
2023-09-11 22:37:00,"1,006025314303389",-11,0
2023-09-11 22:38:00,"1,006025314303389",-11,0
