,mean voltage p.u.,P,Q
2023-08-12 22:00:00,"1,0066857337674824",-11,0
2023-08-12 22:01:00,"1,0096615298405758",-11,0
2023-08-12 22:02:00,"1,0126330343301184",-11,0
2023-08-12 22:03:00,"1,010979216942886",-11,0
2023-08-12 22:04:00,"1,0086693984474082",-11,0
2023-08-12 22:05:00,"1,0061386465064852",-11,0
2023-08-12 22:06:00,"1,004376050666955",-11,0
2023-08-12 22:07:00,"1,004704767568188",-11,0
2023-08-12 22:08:00,"1,0054753394967058",-11,0
2023-08-12 22:09:00,"1,0056952478235384",-11,0
2023-08-12 22:10:00,"1,0048701573972638",-11,0
2023-08-12 22:11:00,"1,0040447528131191",-11,0
2023-08-12 22:12:00,"1,0037142582181744",-11,0
2023-08-12 22:13:00,"1,0030540016485792",-11,0
2023-08-12 22:14:00,"1,0030537843428624",-11,0
2023-08-12 22:15:00,"1,0029988303658124",-11,0
2023-08-12 22:16:00,"1,0020637106800503",-11,0
2023-08-12 22:17:00,"1,0015131556019152",-11,0
2023-08-12 22:18:00,"1,0014029801619952",-11,0
2023-08-12 22:19:00,"1,0021737201153742",-11,0
2023-08-12 22:20:00,"1,0022834539137828",-11,0
2023-08-12 22:21:00,"1,0020633935652783",-11,0
2023-08-12 22:22:00,"1,0016231536589792",-11,0
2023-08-12 22:23:00,"1,003383994074885",-11,0
2023-08-12 22:24:00,"1,005365014048586",-11,0
2023-08-12 22:25:00,"1,005365014048586",-11,0
2023-08-12 22:26:00,"1,004704713793782",-11,0
2023-08-12 22:27:00,"1,003218889208862",-11,0
2023-08-12 22:28:00,"1,0023934840880353",-11,0
2023-08-12 22:29:00,"1,0022283792220117",-11,0
2023-08-12 22:30:00,"1,0020632743559883",-11,0
2023-08-12 22:31:00,"1,0044845342359878",-11,0
2023-08-12 22:32:00,"1,003383994074885",-11,0
2023-08-12 22:33:00,"1,0044295787535065",-11,0
2023-08-12 22:34:00,"1,005034923525829",-11,0
2023-08-12 22:35:00,"1,005034923525829",-11,0
2023-08-12 22:36:00,"1,0052549838743334",-11,0
2023-08-12 22:37:00,"1,005034923525829",-11,0
2023-08-12 22:38:00,"1,004704713793782",-11,0
2023-08-12 22:39:00,"1,0043745040617351",-11,0
2023-08-12 22:40:00,"1,004704713793782",-11,0
2023-08-12 22:41:00,"1,005365014048586",-11,0
2023-08-12 22:42:00,"1,003053903552128",-11,0
2023-08-12 22:43:00,"1,0039342641554363",-11,0
2023-08-12 22:44:00,"1,0044295787535065",-11,0
2023-08-12 22:45:00,"1,0040444135389783",-11,0
2023-08-12 22:46:00,"1,0040444135389783",-11,0
2023-08-12 22:47:00,"1,003824233981184",-11,0
2023-08-12 22:48:00,"1,0032190084181516",-11,0
2023-08-12 22:49:00,"1,004044294329689",-11,0
2023-08-12 22:50:00,"1,005034804316539",-11,0
2023-08-12 22:51:00,"1,002283573123072",-11,0
2023-08-12 22:52:00,"0,9971107840263824",-10,0
2023-08-12 22:53:00,"0,999752223464176",-10,0
2023-08-12 22:54:00,"1,0010728835784275",-11,0
2023-08-12 22:55:00,"1,0004124641143346",-11,0
2023-08-12 22:56:00,"1,0004124641143346",-11,0
2023-08-12 22:57:00,"1,0026136636458294",-11,0
2023-08-12 22:58:00,"1,0058052539548847",-11,0
2023-08-12 22:59:00,"1,0080063342770895",-11,0
2023-08-12 23:00:00,"1,0080063342770895",-11,0
2023-08-12 23:01:00,"1,0085567235669304",-11,0
2023-08-12 23:02:00,"1,0094370841702387",-11,0
2023-08-12 23:03:00,"1,0099873542507902",-11,0
2023-08-12 23:04:00,"1,0096571445187434",-11,0
2023-08-12 23:05:00,"1,0085016488751597",-11,0
2023-08-12 23:06:00,"1,0080063342770895",-11,0
2023-08-12 23:07:00,"1,0074560641965384",-11,0
2023-08-12 23:08:00,"1,007346034022286",-11,0
2023-08-12 23:09:00,"1,0076762437543323",-11,0
2023-08-12 23:10:00,"1,0080063342770895",-11,0
2023-08-12 23:11:00,"1,0083365440091363",-11,0
2023-08-12 23:12:00,"1,0083365440091363",-11,0
2023-08-12 23:13:00,"1,0088868140896874",-11,0
2023-08-12 23:14:00,"1,0103175639828368",-11,0
2023-08-12 23:15:00,"1,010867834063388",-11,0
2023-08-12 23:16:00,"1,0109778642376404",-11,0
2023-08-12 23:17:00,"1,0092170238217342",-11,0
2023-08-12 23:18:00,"1,008611679049412",-11,0
2023-08-12 23:19:00,"1,0099873542507902",-11,0
2023-08-12 23:20:00,"1,010850115168483",-11,0
2023-08-12 23:21:00,"1,0119689927649145",-11,0
2023-08-12 23:22:00,"1,0109783495962652",-11,0
2023-08-12 23:23:00,"1,0106478277617448",-11,0
2023-08-12 23:24:00,"1,0102076297167537",-11,0
2023-08-12 23:25:00,"1,0099873782662896",-11,0
2023-08-12 23:26:00,"1,0099873542507904",-11,0
