,P,Q,mean voltage p.u.
2023-08-03 23:00:00,-3,0,"0,9962817378868376"
2023-08-03 23:01:00,-3,0,"0,9930174657775372"
2023-08-03 23:02:00,-3,0,"0,9930121005788168"
2023-08-03 23:03:00,-3,0,"0,993012100564268"
2023-08-03 23:04:00,-3,0,"0,9933391003249331"
2023-08-03 23:05:00,-3,0,"0,9930665894006925"
2023-08-03 23:06:00,-3383320,66,"0,9928268381767619"
2023-08-03 23:07:00,-2030694,10,"0,9926720496848516"
2023-08-03 23:08:00,23,23,"0,9926850956208928"
2023-08-03 23:09:00,-3,0,"0,9926850953112896"
2023-08-03 23:10:00,-338564,0,"0,9931189822491888"
2023-08-03 23:11:00,183,0,"0,9936662024405496"
2023-08-03 23:12:00,-3,0,"0,9949747553007763"
2023-08-03 23:13:00,-3,0,"0,9951919022414573"
2023-08-03 23:14:00,-1692237,16,"0,9952900522056976"
2023-08-03 23:15:00,107,16,"0,9953553538162574"
2023-08-03 23:16:00,-3,0,"0,9956278833108323"
2023-08-03 23:17:00,-3,0,"0,9956278460115379"
2023-08-03 23:18:00,-1353645,10,"0,9956191667367212"
2023-08-03 23:19:00,-2030480,2,"0,9956148268478434"
2023-08-03 23:20:00,-338416,0,"0,9956256761871389"
2023-08-03 23:21:00,-3,0,"0,9956278460115373"
2023-08-03 23:22:00,-3,0,"0,9956278460115373"
2023-08-03 23:23:00,-3,0,"0,9956278460115373"
2023-08-03 23:24:00,-3,0,"0,9958457704264552"
2023-08-03 23:25:00,-3,0,"0,9966088024551166"
2023-08-03 23:26:00,-2707263,42,"0,9968639602836067"
2023-08-03 23:27:00,-3,0,"0,9969357483927944"
2023-08-03 23:28:00,-3,0,"0,9969357483927944"
2023-08-03 23:29:00,-3,0,"0,9963907594095971"
2023-08-03 23:30:00,-676827,2,"0,996004905412049"
2023-08-03 23:31:00,-3,0,"0,9959547919492152"
2023-08-03 23:32:00,-3,0,"0,9959547919492152"
2023-08-03 23:33:00,-3,0,"0,9959547919492152"
2023-08-03 23:34:00,-3,0,"0,9964997809323569"
2023-08-03 23:35:00,-3,0,"0,9966088024551166"
2023-08-03 23:36:00,-3,0,"0,9966088024551166"
2023-08-03 23:37:00,-676827,2,"0,9966044670815896"
2023-08-03 23:38:00,-3,0,"0,9963363079635182"
2023-08-03 23:39:00,-3,0,"0,9962818565174392"
2023-08-03 23:40:00,-676827,2,"0,996931414441052"
2023-08-03 23:41:00,-1353645,10,"0,9969270805044352"
2023-08-03 23:42:00,-3,0,"0,9969357483927944"
2023-08-03 23:43:00,-3,0,"0,9969357483927944"
2023-08-03 23:44:00,-2030457,23,"0,996813842268868"
2023-08-03 23:45:00,-3,0,"0,9969357483927944"
2023-08-03 23:46:00,-3,0,"0,9969357483927944"
2023-08-03 23:47:00,-3,0,"0,997099221361633"
2023-08-03 23:48:00,-3,0,"0,9974262859299123"
2023-08-03 23:49:00,-3,0,"0,9975897588987513"
2023-08-03 23:50:00,-3,0,"0,9975897588987513"
2023-08-03 23:51:00,-1015237,5,"0,9975832622379861"
2023-08-03 23:52:00,-676827,2,"0,9985116995423656"
