,P,Q,mean voltage p.u.
2023-02-24 23:00:00,-338416,0,"0,9933368716780162"
2023-02-24 23:01:00,-299,0,"0,9924675516291172"
2023-02-24 23:02:00,-4,0,"0,9907792502613345"
2023-02-24 23:03:00,-1013338,6,"0,9889201736079565"
2023-02-24 23:04:00,-1015243,0,"0,9887549065493206"
2023-02-24 23:05:00,-1114,6,"0,9876721224159976"
2023-02-24 23:06:00,-7,0,"0,9840814961667682"
2023-02-24 23:07:00,-3,0,"0,9838569281548105"
2023-02-24 23:08:00,-3,0,"0,9839658707641422"
2023-02-24 23:09:00,-3,0,"0,9830399144600627"
2023-02-24 23:10:00,-3,0,"0,9815692048171392"
2023-02-24 23:11:00,-3384057,67,"0,9815460941743266"
2023-02-24 23:12:00,-4061410,2,"0,9821958748770119"
2023-02-24 23:13:00,1006,97,"0,9824400098797949"
2023-02-24 23:14:00,-3,0,"0,9825490061899683"
2023-02-24 23:15:00,-3,0,"0,9825490001444231"
2023-02-24 23:16:00,-1692802,16,"0,9829740708293853"
2023-02-24 23:17:00,-337427,10,"0,9836914357582488"
2023-02-24 23:18:00,352,0,"0,9847293844752018"
2023-02-24 23:19:00,-3,0,"0,9854920459524436"
2023-02-24 23:20:00,-1692051,16,"0,9854807901746663"
2023-02-24 23:21:00,-3,0,"0,9854917508447264"
2023-02-24 23:22:00,-3,0,"0,9872901314478563"
2023-02-24 23:23:00,-3,0,"0,9882710285761904"
2023-02-24 23:24:00,-1353644,10,"0,9885347222781625"
2023-02-24 23:25:00,-1692051,16,"0,9888594864688776"
2023-02-24 23:26:00,-3,0,"0,9894153986733637"
2023-02-24 23:27:00,-3,0,"0,9899058175798803"
2023-02-24 23:28:00,-3,0,"0,9900692905487191"
2023-02-24 23:29:00,-3,0,"0,9900148391026402"
2023-02-24 23:30:00,-3,0,"0,9886524259599475"
2023-02-24 23:31:00,-1353644,10,"0,9884257591071297"
2023-02-24 23:32:00,-676827,2,"0,9884301303183198"
2023-02-24 23:33:00,-3,0,"0,9884345015450291"
2023-02-24 23:34:00,-3,0,"0,9884345015450291"
2023-02-24 23:35:00,-676827,2,"0,9884301303183198"
2023-02-24 23:36:00,-676827,2,"0,9888660403902944"
2023-02-24 23:37:00,-3,0,"0,9902327635175581"
2023-02-24 23:38:00,-3,0,"0,9907232417393752"
2023-02-24 23:39:00,-2707262,42,"0,9905423214703288"
2023-02-24 23:40:00,-4060856,96,"0,990370120621286"
2023-02-24 23:41:00,-2030456,24,"0,9903832081420657"
2023-02-24 23:42:00,-3,0,"0,991322682168652"
2023-02-24 23:43:00,-3,0,"0,9914317036914115"
2023-02-24 23:44:00,-3,0,"0,9917041981830106"
2023-02-24 23:45:00,-3,0,"0,9917041981830106"
2023-02-24 23:46:00,-3,0,"0,9917041981830106"
2023-02-24 23:47:00,-3,0,"0,9926851546266451"
2023-02-24 23:48:00,-1353645,10,"0,993003398427134"
2023-02-24 23:49:00,-3,0,"0,993339046502001"
2023-02-24 23:50:00,-3,0,"0,9938840354851431"
2023-02-24 23:51:00,-338416,0,"0,9944267927126561"
2023-02-24 23:52:00,-3,0,"0,9948649326134221"
2023-02-24 23:53:00,-3,0,"0,9949738948208813"
2023-02-24 23:54:00,-1353645,10,"0,9940388153810001"
2023-02-24 23:55:00,-4060857,95,"0,9933129488634952"
2023-02-24 23:56:00,-676827,2,"0,9926807428017376"
2023-02-24 23:57:00,-3,0,"0,9926850953112895"
2023-02-24 23:58:00,-3,0,"0,9927396060727245"
2023-02-24 23:59:00,-1353645,10,"0,9938208297440808"
2023-02-25 00:00:00,-3,0,"0,9939929976926573"
2023-02-25 00:01:00,-3,0,"0,9943199436302796"
2023-02-25 00:02:00,-338416,0,"0,9946447769189793"
2023-02-25 00:03:00,-1015237,5,"0,9946404330012076"
2023-02-25 00:04:00,-3,0,"0,9945379866757443"
2023-02-25 00:05:00,-3,0,"0,9937750139624384"
2023-02-25 00:06:00,-676827,2,"0,993334696857854"
2023-02-25 00:07:00,-3,0,"0,993339046502001"
2023-02-25 00:08:00,-3,0,"0,993339046502001"
2023-02-25 00:09:00,-338416,0,"0,9933368716780162"
2023-02-25 00:10:00,-3,0,"0,993339046502001"
2023-02-25 00:11:00,-3,0,"0,993339046502001"
2023-02-25 00:12:00,-3,0,"0,993339046502001"
2023-02-25 00:13:00,-338416,0,"0,9933368716780162"
2023-02-25 00:14:00,-3,0,"0,993339046502001"
2023-02-25 00:15:00,-3,0,"0,993339046502001"
2023-02-25 00:16:00,-1015237,5,"0,9933325220407666"
2023-02-25 00:17:00,-2030457,23,"0,9929990473800016"
2023-02-25 00:18:00,-3,0,"0,9925761331038307"
2023-02-25 00:19:00,-3,0,"0,9920312034359342"
2023-02-25 00:20:00,-3,0,"0,9922174697166392"
2023-02-25 00:21:00,-338464,0,"0,9923559820642647"
2023-02-25 00:22:00,-2,0,"0,9923581493822567"
2023-02-25 00:23:00,-3,0,"0,992630681277788"
2023-02-25 00:24:00,-2031126,23,"0,9929446447690814"
2023-02-25 00:25:00,-4061048,23,"0,9929859941802681"
2023-02-25 00:26:00,7030,96,"0,9947029423467363"
2023-02-25 00:27:00,-14,0,"0,9962831096404504"
2023-02-25 00:28:00,-3,0,"0,996281856518337"
2023-02-25 00:29:00,-675828,2,"0,9948071716558768"
2023-02-25 00:30:00,-556,2,"0,993993330886901"
2023-02-25 00:31:00,-3,0,"0,9939929976926579"
2023-02-25 00:32:00,-677495,2,"0,9949700913991515"
2023-02-25 00:33:00,0,2,"0,9949739541685308"
2023-02-25 00:34:00,-3,0,"0,9950284663907764"
2023-02-25 00:35:00,-3,0,"0,99486494605188"
2023-02-25 00:36:00,-676679,2,"0,9946426297944961"
2023-02-25 00:37:00,0,2,"0,9946469489173414"
2023-02-25 00:38:00,-3,0,"0,9950830118889528"
2023-02-25 00:39:00,-676975,2,"0,9952965819077206"
2023-02-25 00:40:00,-1353653,0,"0,9955116987238056"
2023-02-25 00:41:00,154,10,"0,9956278528857309"
2023-02-25 00:42:00,-3,0,"0,9956278460115374"
2023-02-25 00:43:00,-676827,2,"0,9956235063665917"
2023-02-25 00:44:00,-4062002,66,"0,9959289277057101"
2023-02-25 00:45:00,2772,95,"0,9966090354029774"
2023-02-25 00:46:00,-3,0,"0,9964453429316846"
2023-02-25 00:47:00,-676272,2,"0,9956238452694126"
2023-02-25 00:48:00,-1353653,2,"0,9956191666359936"
2023-02-25 00:49:00,8,10,"0,9956278461479446"
2023-02-25 00:50:00,-3,0,"0,9956278460115925"
2023-02-25 00:51:00,-3,0,"0,9956278460115925"
2023-02-25 00:52:00,-3,0,"0,9956278460115925"
2023-02-25 00:53:00,-3,0,"0,9959003777928512"
2023-02-25 00:54:00,-338434,0,"0,9959526242051402"
2023-02-25 00:55:00,-338416,0,"0,9959526228286499"
2023-02-25 00:56:00,-113,0,"0,9956278989720588"
2023-02-25 00:57:00,-3,0,"0,9956278460115936"
2023-02-25 00:58:00,-676827,2,"0,9956235063665366"
2023-02-25 00:59:00,-222,2,"0,9953009523646371"
2023-02-25 01:00:00,-3,0,"0,9951969136080915"
2023-02-25 01:01:00,-338785,0,"0,9962801583847272"
2023-02-25 01:02:00,-1013390,2,"0,9935542465579846"
2023-02-25 01:03:00,-1221,5,"0,9923588693940024"
2023-02-25 01:04:00,-1,0,"0,9943765013240335"
2023-02-25 01:05:00,-3,0,"0,9957923254950105"
2023-02-25 01:06:00,-3,0,"0,9949742311505402"
2023-02-25 01:07:00,-3,0,"0,9947014377356618"
2023-02-25 01:08:00,-3,0,"0,9951374039720701"
2023-02-25 01:09:00,-2031680,23,"0,9957240227834829"
2023-02-25 01:10:00,467,23,"0,9959548189128675"
2023-02-25 01:11:00,-3,0,"0,9959547919492157"
2023-02-25 01:12:00,-338434,0,"0,9960071944088416"
2023-02-25 01:13:00,89,0,"0,9962818943945558"
2023-02-25 01:14:00,-3,0,"0,9962818565175497"
2023-02-25 01:15:00,-3,0,"0,9962818565174387"
2023-02-25 01:16:00,-3384063,65,"0,9962601726862813"
2023-02-25 01:17:00,70,65,"0,9962818573684276"
2023-02-25 01:18:00,-3,0,"0,9972631771463336"
2023-02-25 01:19:00,-3,0,"0,997589693703478"
2023-02-25 01:20:00,-660826,24,"0,9982692274402051"
2023-02-25 01:21:00,-20,2,"0,9982436511250616"
2023-02-25 01:22:00,-3,0,"0,9982436507741069"
2023-02-25 01:23:00,-1353645,10,"0,9982349942423661"
2023-02-25 01:24:00,-582,10,"0,9978077748702232"
