,mean voltage p.u.,P,Q
2023-07-11 22:00:00,"1,0142796039302373",-11,0
2023-07-11 22:01:00,"1,0142796039302373",-11,0
2023-07-11 22:02:00,"1,0136193994728673",-11,0
2023-07-11 22:03:00,"1,0113107091923277",-11,0
2023-07-11 22:04:00,"1,01130807397312",-11,0
2023-07-11 22:05:00,"1,0099882166490193",-11,0
2023-07-11 22:06:00,"1,0094373536860457",-11,0
2023-07-11 22:07:00,"1,0089970595383984",-11,0
2023-07-11 22:08:00,"1,0087217467945344",-11,0
2023-07-11 22:09:00,"1,0086667552402264",-11,0
2023-07-11 22:10:00,"1,0086667537411829",-11,0
2023-07-11 22:11:00,"1,0088868380949183",-11,0
2023-07-11 22:12:00,"1,0099879544845147",-11,0
2023-07-11 22:13:00,"1,0103176177668547",-11,0
2023-07-11 22:14:00,"1,010317563982838",-11,0
2023-07-11 22:15:00,"1,0121902862092735",-11,0
2023-07-11 22:16:00,"1,0131795467223286",-11,0
2023-07-11 22:17:00,"1,01213401910215",-11,0
2023-07-11 22:18:00,"1,0116382859545172",-11,0
2023-07-11 22:19:00,"1,011638164492451",-11,0
2023-07-11 22:20:00,"1,0118032693584669",-11,0
2023-07-11 22:21:00,"1,011418104143939",-11,0
2023-07-11 22:22:00,"1,0111429691036633",-11,0
2023-07-11 22:23:00,"1,01097786423764",-11,0
2023-07-11 22:24:00,"1,0110878944118924",-11,0
2023-07-11 22:25:00,"1,0116381644924437",-11,0
2023-07-11 22:26:00,"1,0111979245861449",-11,0
2023-07-11 22:27:00,"1,01097786423764",-11,0
2023-07-11 22:28:00,"1,01097786423764",-11,0
2023-07-11 22:29:00,"1,0120784043987427",-11,0
2023-07-11 22:30:00,"1,013619184466144",-11,0
2023-07-11 22:31:00,"1,013619184466144",-11,0
2023-07-11 22:32:00,"1,013619184466144",-11,0
2023-07-11 22:33:00,"1,0141695737559848",-11,0
2023-07-11 22:34:00,"1,0149399041850409",-11,0
2023-07-11 22:35:00,"1,0152701139170874",-11,0
2023-07-11 22:36:00,"1,0152701139170874",-11,0
2023-07-11 22:37:00,"1,0149399041850409",-11,0
2023-07-11 22:38:00,"1,0149399041850409",-11,0
2023-07-11 22:39:00,"1,0149399041850409",-11,0
2023-07-11 22:40:00,"1,0152150392253163",-11,0
2023-07-11 22:41:00,"1,0157102346140967",-11,0
2023-07-11 22:42:00,"1,015930414171891",-11,0
2023-07-11 22:43:00,"1,0166457891184657",-11,0
2023-07-11 22:44:00,"1,0087767839154351",-11,0
2023-07-11 22:45:00,"1,0047047137937817",-11,0
2023-07-11 22:46:00,"1,0047047137937817",-11,0
2023-07-11 22:47:00,"1,0047047137937817",-11,0
2023-07-11 22:48:00,"1,0047047137937817",-11,0
2023-07-11 22:49:00,"1,0047047137937817",-11,0
2023-07-11 22:50:00,"1,0047047137937817",-11,0
2023-07-11 22:51:00,"1,0047047137937817",-11,0
